Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Fix Version/s,Due Date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
MemberService.register_user implementation ,FABP-120,13042,12999,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,bryanhuang,bryanhuang,bryanhuang,18/Oct/16 3:53 PM,20/Jul/18 12:53 AM,28/Oct/23 2:25 AM,17/Mar/17 11:27 AM,,v1.0.0,,,0,SDK-Python,,"register_user
",,bryanhuang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxd5b:",,,,,,Sprint 2,Sprint 4,,,,,,,,,,,,,,,bryanhuang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic attribute functions implementation of Member class,FABP-121,13379,12999,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,bryanhuang,bryanhuang,bryanhuang,09/Nov/16 10:32 PM,20/Jul/18 12:53 AM,28/Oct/23 2:25 AM,09/Dec/16 12:02 PM,,v0.6,,,0,SDK-Python,,"get_name
get_roles
set_roles
get_affiliation
set_affiliation",,bryanhuang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxee7:",,,,,,Sprint 2,Sprint 4,,,,,,,,,,,,,,,bryanhuang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
member.register implementation,FABP-122,13380,12999,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,bryanhuang,bryanhuang,bryanhuang,09/Nov/16 10:34 PM,20/Jul/18 12:53 AM,28/Oct/23 2:25 AM,17/Mar/17 11:27 AM,,v0.6,,,0,SDK-Python,,register,,bryanhuang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxeef:",,,,,,Sprint 2,Sprint 4,,,,,,,,,,,,,,,bryanhuang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MemberService.enroll implementation,FABP-123,13381,12999,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,grapebaba,bryanhuang,bryanhuang,09/Nov/16 10:44 PM,20/Jul/18 12:53 AM,28/Oct/23 2:25 AM,18/Jan/17 3:25 PM,,v0.6,,,0,SDK-Python,,"enroll
",,bryanhuang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxeen:",,,,,,Sprint 2,Sprint 4,,,,,,,,,,,,,,,bryanhuang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
member.send_transaction_proposal implementation,FABP-124,13430,12999,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,,bryanhuang,bryanhuang,14/Nov/16 10:49 PM,20/Jul/18 12:53 AM,28/Oct/23 2:25 AM,17/Mar/17 11:27 AM,,v0.6,,,0,SDK-Python,,"send_transaction_proposal
",,bryanhuang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxes7:",,,,,,Sprint 2,Sprint 4,,,,,,,,,,,,,,,bryanhuang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
member.create_transaction implementation,FABP-125,13431,12999,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,baohua,bryanhuang,bryanhuang,14/Nov/16 10:49 PM,20/Jul/18 12:53 AM,28/Oct/23 2:25 AM,17/Mar/17 11:27 AM,,v0.6,,,0,SDK-Python,,"create_transaction
",,bryanhuang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxesf:",,,,,,Sprint 2,Sprint 4,,,,,,,,,,,,,,,bryanhuang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
member.send_transaction implementation,FABP-126,13432,12999,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,baohua,bryanhuang,bryanhuang,14/Nov/16 10:50 PM,20/Jul/18 12:53 AM,28/Oct/23 2:25 AM,17/Mar/17 11:27 AM,,v0.6,,,0,SDK-Python,,,,bryanhuang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxesn:",,,,,,Sprint 2,Sprint 4,,,,,,,,,,,,,,,bryanhuang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
member.query_transaction implementation,FABP-127,13433,12999,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,baohua,bryanhuang,bryanhuang,14/Nov/16 10:50 PM,20/Jul/18 12:53 AM,28/Oct/23 2:25 AM,17/Mar/17 11:27 AM,,v0.6,,,0,SDK-Python,," query_transaction
",,bryanhuang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxesv:",,,,,,Sprint 2,Sprint 4,,,,,,,,,,,,,,,bryanhuang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
member.query_state implementation,FABP-128,13434,12999,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,,bryanhuang,bryanhuang,14/Nov/16 10:51 PM,20/Jul/18 12:53 AM,28/Oct/23 2:25 AM,17/Mar/17 11:27 AM,,v0.6,,,0,SDK-Python,,query_state,,bryanhuang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxet3:",,,,,,Sprint 2,Sprint 4,,,,,,,,,,,,,,,bryanhuang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
member.get_tcerts implementation,FABP-129,13435,12999,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,,bryanhuang,bryanhuang,14/Nov/16 10:53 PM,20/Jul/18 12:53 AM,28/Oct/23 2:25 AM,17/Mar/17 11:27 AM,,v0.6,,,0,SDK-Python,,"get_tcerts
",,bryanhuang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxetb:",,,,,,Sprint 2,Sprint 4,,,,,,,,,,,,,,,bryanhuang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MemberService.is_registered implementation,FABP-130,13436,12999,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,,bryanhuang,bryanhuang,14/Nov/16 10:55 PM,20/Jul/18 12:53 AM,28/Oct/23 2:25 AM,17/Mar/17 11:27 AM,,v0.6,,,0,SDK-Python,,is_registered,,bryanhuang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxetj:",,,,,,Sprint 2,Sprint 4,,,,,,,,,,,,,,,bryanhuang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MemberService.delete_enrollment implementation,FABP-131,13437,12999,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,,bryanhuang,bryanhuang,14/Nov/16 10:56 PM,20/Jul/18 12:53 AM,28/Oct/23 2:25 AM,17/Mar/17 11:27 AM,,v0.6,,,0,node-SDK,,delete_enrollment,,bryanhuang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxetr:",,,,,,Sprint 2,Sprint 4,,,,,,,,,,,,,,,bryanhuang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refine the code structure of membership part,FABP-132,13833,12999,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,bryanhuang,bryanhuang,bryanhuang,16/Dec/16 4:38 PM,20/Jul/18 12:53 AM,28/Oct/23 2:25 AM,17/Mar/17 11:27 AM,,v1.0.0,,,0,SDK-Python,,"Refine the code structure of membership part
rename  member.py to api/user.py

create hfc-cop source directory",,bryanhuang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxg3z:",,,,,,Sprint 2,Sprint 4,,,,,,,,,,,,,,,bryanhuang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Change Makefile to support docker-compose based test,FABP-133,13892,12999,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,grapebaba,grapebaba,grapebaba,28/Dec/16 5:22 PM,20/Jul/18 12:53 AM,28/Oct/23 2:25 AM,31/Dec/16 12:22 PM,,v1.0.0,,,0,,,Change Makefile to support docker-compose based test,,grapebaba,,,,,,,,,,,,,,,,,,,,,,,,,FABP-55,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxgbb:",,,,,,Sprint 2,Sprint 4,,,,,,,,,,,,,,,grapebaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Use docker based mock in unit test,FABP-134,13905,12999,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,grapebaba,grapebaba,grapebaba,01/Jan/17 9:30 PM,20/Jul/18 12:53 AM,28/Oct/23 2:25 AM,06/Jan/17 10:43 AM,,v1.0.0,,,0,,,"Use docker based mock in unit test. Now it is a simple way, to avoid test conflict.",,grapebaba,,,,,,14400,14400,,0%,14400,14400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxgdj:",,,,,,Sprint 2,Sprint 4,,,,,,,,,,,,,,,grapebaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enroll interface change,FABP-135,13987,12999,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,grapebaba,grapebaba,grapebaba,10/Jan/17 11:49 AM,20/Jul/18 12:53 AM,28/Oct/23 2:25 AM,18/Jan/17 11:45 AM,,v1.0.0,,,0,,,Use new json format enroll request,,grapebaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxgq7:",,,,,,Sprint 2,Sprint 4,,,,,,,,,,,,,,,grapebaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skip enroll test temporay ,FABP-136,13988,12999,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,grapebaba,grapebaba,grapebaba,10/Jan/17 1:44 PM,20/Jul/18 12:53 AM,28/Oct/23 2:25 AM,11/Jan/17 5:11 PM,,v1.0.0,,,0,,,Skip enroll test temporay ,,grapebaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxgqf:",,,,,,Sprint 2,Sprint 4,,,,,,,,,,,,,,,grapebaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generate CSR to enroll,FABP-137,14156,12999,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,grapebaba,grapebaba,grapebaba,18/Jan/17 9:59 PM,20/Jul/18 12:53 AM,28/Oct/23 2:25 AM,24/Jan/17 6:33 PM,,v1.0.0,,,0,,,Generate CSR to enroll,,grapebaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxign:",,,,,,Sprint 2,Sprint 4,,,,,,,,,,,,,,,grapebaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Build base class ,FABP-138,13361,13107,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,latitiah,latitiah,latitiah,08/Nov/16 11:52 PM,20/Jul/18 12:53 AM,28/Oct/23 2:25 AM,16/Mar/17 8:03 PM,,v0.6,,,0,,,"This base class can be used for both nodes (orderers) and peers (endorsers and committers).

The instance should take as input:
* credential information (e.g. certificate)
* url

The endpoint should be set as apart of the initialization.

Be sure to write unit tests as well.
",,latitiah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxebj:",,,,,,Sprint 2,Sprint 4,,,,,,,,,,,,,,,latitiah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
client.get_chain() implementation,FABP-139,13291,13106,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,SeeGo,SeeGo,SeeGo,04/Nov/16 10:41 PM,20/Jul/18 12:53 AM,28/Oct/23 2:25 AM,22/Feb/17 4:53 PM,,v0.6,,,0,,," """""" Get a chain instance

        :param chain_name: the name of the chain

        :return: Get the chain instance with the name or None
        """"""",,SeeGo,,,,,,72000,72000,,0%,72000,72000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxdzj:",,,,,,Sprint 2,Sprint 4,,,,,,,,,,,,,,,SeeGo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
client.new_chain() implementation.,FABP-140,13289,13106,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,SeeGo,SeeGo,SeeGo,04/Nov/16 10:39 PM,20/Jul/18 12:53 AM,28/Oct/23 2:25 AM,22/Feb/17 4:53 PM,,v0.6,,,0,SDK-Python,,"Init a chain instance with given name.
Params
● name (str): The name of the chain
Returns (Chain instance): The init’ed chain instance.",,SeeGo,,,,,,144000,144000,,0%,144000,144000,,,,,,,,FABP-141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxdz3:",,,,,,Sprint 2,Sprint 4,,,,,,,,,,,,,,,SeeGo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 client.set_KeyValueStore() implementation.,FABP-141,13292,13106,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,SeeGo,SeeGo,SeeGo,04/Nov/16 10:49 PM,20/Jul/18 12:53 AM,28/Oct/23 2:25 AM,22/Feb/17 4:53 PM,,v0.6,,,0,SDK-Python,,"store user enrollment materials. The SDK should make this
        pluggable so that different store implementations can be
        selected by the application. For instance, in some cases
        File-based stores a sufficient. But for clustering purposes,
        multiple application instances want to share a store backed
        by a database.

        :param store: instance of an alternative KeyValueStore
        implementation provided by the consuming app

        :return: None",,SeeGo,,,,,,144000,144000,,0%,144000,144000,,,,,,,,FABP-142,FABP-143,FABP-140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxdzr:",,,,,,Sprint 2,Sprint 4,,,,,,,,,,,,,,,SeeGo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
client.set_logger() implementation.,FABP-142,13293,13106,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,SeeGo,SeeGo,SeeGo,04/Nov/16 10:52 PM,09/Oct/18 1:48 PM,28/Oct/23 2:25 AM,10/Feb/17 11:37 AM,,v0.6,,,0,SDK-Python,,"Sets an instance of a logger used by the consuming application.
        This is useful because an application would likely want to use a
        common logger for all parts of the code.
        And typically an IT organization would have log scraping set up for
        monitoring and analytics purposes, such that a “standard” log format
        is desirable.
        The SDK should have a built-in logger so that developers get logging by
        default.
        But it MUST allow an external logger to be set with a standard set of
        logging APIs

        :param logger: an external logging utility that implements a standard
        interface.

        :return: None",,SeeGo,,,,,,144000,144000,,0%,144000,144000,,,,,,,,,,FABP-141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxdzz:",,,,,,Sprint 2,Sprint 4,,,,,,,,,,,,,,,SeeGo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
client.Key_related_process() implementation.,FABP-143,13294,13106,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,hgabre,SeeGo,SeeGo,04/Nov/16 10:54 PM,20/Jul/18 12:53 AM,28/Oct/23 2:25 AM,22/Feb/17 4:53 PM,,v0.6,,,0,SDK-Python,,"        store or change persistent and private data
        Params

        :param name:The name of the key
        :return: the result",,SeeGo,,,,,,144000,144000,,0%,144000,144000,,,,,,,,,,FABP-141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxe07:",,,,,,Sprint 2,Sprint 4,,,,,,,,,,,,,,,SeeGo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add ab.proto code,FABP-144,13393,13375,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,baohua,grapebaba,grapebaba,10/Nov/16 6:44 PM,20/Jul/18 12:53 AM,28/Oct/23 2:25 AM,02/Dec/16 4:44 PM,,v0.6,,,0,,,Add ab.proto code,,grapebaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxegn:",,,,,,Sprint 4,,,,,,,,,,,,,,,,grapebaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Implement broadcast method,FABP-145,13420,13375,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,grapebaba,grapebaba,grapebaba,11/Nov/16 12:55 PM,29/Jan/19 7:07 PM,28/Oct/23 2:25 AM,17/Mar/17 12:02 PM,,v1.0.0,,,0,,,Implement broadcast method,,baohua,grapebaba,GuillaumeCisco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxepz:",,,,,,Sprint 4,,,,,,,,,,,,,,,,baohua,grapebaba,GuillaumeCisco,,,,,,,"10/Feb/17 11:39 AM;baohua;Do we still need that?;;;","29/Jan/19 7:07 PM;GuillaumeCisco;I'd like to know too :);;;",,,,,,,,,,,,,,,,,,,,,,,,,,,
Implement deliver method,FABP-146,13421,13375,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,grapebaba,grapebaba,grapebaba,11/Nov/16 12:56 PM,20/Jul/18 12:53 AM,28/Oct/23 2:25 AM,17/Mar/17 12:02 PM,,v1.0.0,,,0,,,Implement deliver method,,grapebaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxeq7:",,,,,,Sprint 4,,,,,,,,,,,,,,,,grapebaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Create channel feature,FABP-147,16079,,Story,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,grapebaba,grapebaba,grapebaba,28/Apr/17 12:38 PM,21/Jul/18 4:17 AM,28/Oct/23 2:25 AM,28/Aug/17 2:29 PM,,,,,0,,,"signature:

class Channel:
 def __init__(self, name, orderer, channel__req)
 """"""
 Invoke orderer to create a channel
 A chain might have several orderers, and several channels.
 """"""

class Client:
 def new_channel(name, orderer, channel_req)
 """"""
 An factory method to invoke Channel()
 """"""",,baohua,grapebaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzxrlb:",,,,Unset,,,,,,,Unset,,,,,,,,,,,baohua,grapebaba,,,,,,,,"28/Apr/17 12:41 PM;baohua;1) There might be multiple orderers in the network.
2) A chain may include multi-channels.

What's envelop for here?;;;","28/Apr/17 12:57 PM;grapebaba;Current I abstract  1Chain<-->1Channel, We can use Client object or a new Network object for one blockchain network.
1.One Chain is one channel which should only belong to one orderer service, even though maybe multiple orderer endpoints however they should be one orderer service.
2.That is not a problem if we abstract 1 Chain==1 Channel

envelope is a orderer request object, current follow node SDK, it should read a mychannel.txt which created by configtx tool;;;","28/Apr/17 5:47 PM;baohua;OK, then envelope should be the transaction to create a new channel.

In this case, would suggest to use more clear name like ""channel_tx"";;;","28/Aug/17 2:29 PM;baohua;https://gerrit.hyperledger.org/r/#/c/12643/;;;",,,,,,,,,,,,,,,,,,,,,,,,,
Refactor Chain class to channel,FABP-148,17394,16079,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Highest,Done,david_dornseifer,grapebaba,grapebaba,02/Jun/17 12:11 PM,20/Jul/18 12:55 AM,28/Oct/23 2:25 AM,10/Jul/17 5:41 PM,,,,,0,,,Refactor Chain class to channel,,baohua,david_dornseifer,grapebaba,MichaelWang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxybj:",,,,,,,,,,,,,,,,,,,,,,baohua,david_dornseifer,grapebaba,MichaelWang,,,,,,"26/Jun/17 12:27 PM;grapebaba;[~david_dornseifer]thanks you pick this one, however please hold on a while since I have created a new channel class in another patch. In order to reduce refactor impact, we can pull chain class code to new channel class step by step. What your thoughts? I will submit that patch ASAP.;;;","26/Jun/17 12:31 PM;david_dornseifer;[~grapebaba] sounds good :) +1;;;","06/Jul/17 3:07 PM;baohua;[~grapebaba] Kai has got his patchset merged now.

[~david_dornseifer] Feel free to update.

Thanks!;;;","10/Jul/17 3:15 PM;david_dornseifer;first change set  [https://gerrit.hyperledger.org/r/#/c/11461/];;;",,,,,,,,,,,,,,,,,,,,,,,,,
Implement create channel ,FABP-149,17395,16079,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,david_dornseifer,grapebaba,grapebaba,02/Jun/17 12:13 PM,20/Jul/18 12:55 AM,28/Oct/23 2:25 AM,31/Aug/17 7:07 PM,,,,,0,SDK-Python,,Implement create channel,,david_dornseifer,grapebaba,MichaelWang,qiang0723,,,,,,,,,,,,,,,,,,,,,,FABP-156,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxybr:",,,,,,,,,,,,,,,,,,,,,,david_dornseifer,grapebaba,MichaelWang,qiang0723,,,,,,"29/Aug/17 2:52 PM;david_dornseifer;https://gerrit.hyperledger.org/r/12897;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
create ChannelConfiguration class,FABP-150,17871,16079,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,grapebaba,grapebaba,grapebaba,14/Jun/17 5:26 PM,20/Jul/18 12:55 AM,28/Oct/23 2:25 AM,20/Jun/17 10:24 AM,,,,,0,,,create ChannelConfiguration class,,grapebaba,qiang0723,sudheesh001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy27z:",,,,,,,,,,,,,,,,,,,,,,grapebaba,qiang0723,sudheesh001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Refactor user class for latest spec,FABP-151,18372,16079,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,grapebaba,grapebaba,grapebaba,20/Jun/17 10:25 AM,20/Jul/18 12:55 AM,28/Oct/23 2:25 AM,22/Jun/17 1:48 PM,,,,,0,,,Refactor user class for latest spec,,baohua,grapebaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy4tj:",,,,,,,,,,,,,,,,,,,,,,baohua,grapebaba,,,,,,,,"22/Jun/17 1:53 PM;baohua;https://gerrit.hyperledger.org/r/#/c/10979/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Support eventhub listening using python SDK,FABP-152,18134,16079,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,david_dornseifer,grapebaba,grapebaba,16/Jun/17 12:05 PM,20/Jun/19 6:18 PM,28/Oct/23 2:25 AM,20/Jun/19 6:18 PM,,,,,0,SDK-Python,,Complete eventhub component,,anku94,apurvmehra,grapebaba,sudheesh001,,,,,,,,,,,FABP-48,FABP-24,FAB-7403,FABP-98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy3ev:",,,,,,,,,,,,,,,,,,,,,,anku94,apurvmehra,grapebaba,sudheesh001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parse config block part1,FABP-153,18590,16079,Sub-task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,grapebaba,grapebaba,grapebaba,23/Jun/17 12:12 PM,20/Jul/18 12:55 AM,28/Oct/23 2:25 AM,28/Jun/17 4:08 PM,,,,,0,,,parse config block,,grapebaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy5fj:",,,,,,,,,,,,,,,,,,,,,,grapebaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
implement e2e test using Python SDK,FABP-154,15444,,Epic,Closed,FABP,Fabric SDK Python,software,baohua,,,High,Done,MichaelWang,lafenicecc,lafenicecc,24/Mar/17 12:21 PM,21/Jul/18 4:13 AM,28/Oct/23 2:25 AM,20/Mar/18 10:20 AM,,v1.0.0,,,0,SDK-Python,,"
E2E test example is important demo on how to use the sdk.",,baohua,lafenicecc,MichaelWang,qiang0723,,,288000,288000,,0%,1008000,1008000,,,,,,,FAB-1637,,,,,,FABP-30,FABP-155,FABP-157,FABP-158,FABP-159,FABP-112,FABP-102,,,,,,,Unset,,Unset,,,implement e2e test using Python SDK,,,,Unset,,,,"1|hzx9pr:",,,,Unset,Unset,Sprint 4,,,,100.0,,,,,,,,,,,,baohua,lafenicecc,MichaelWang,qiang0723,,,,,,"28/Jun/17 10:38 AM;MichaelWang;Regarding the design, we will refer the node

sdk right now, which is the most mature sdk right now. So we will use its framework now.;;;","06/Jul/17 11:33 AM;MichaelWang;Now the e2e will composed of the functionality as below:
 # create channel
 # join channel
 # install chaincode
 # instantiate chaincode
 # invoke transaction
 # query information
 # upgrade the chaincode;;;","06/Jul/17 3:04 PM;baohua;Let's demo the process with high-level API calls in python code.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,
