Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (External issue ID),Custom field (Flagged),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Draw new pictures for Sawtooth 201 course,STL-1202,29749,,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,achenette,achenette,achenette,27/Apr/18 6:51 AM,30/Jun/18 12:59 AM,28/Oct/23 3:34 AM,30/Jun/18 12:59 AM,,,,,,,,,,,0,,,,,,Will continue into Sprint 52.,,achenette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-1185,,,,,,,,,,,"1|hzz7qv:",,,,,,Sprint 51,Sprint 52,,,,,,,5.0,,,,,,,,,,,,achenette,,,,,,,,,,,,,,,,,,
"Invalid Batches sometimes return ""pending"" status when queried",STL-1203,29750,,Bug,Backlog,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,RichardHill,delventhalz,delventhalz,27/Apr/18 6:57 AM,21/May/19 11:33 PM,28/Oct/23 3:34 AM,,,,,,Validator Journal,Validator Txn Execution,,,,,0,hackillinois,help-wanted,Needs-Review,,,"Under certain conditions a Batch rejected by the validator is inappropriately given a status of ""PENDING"". It is possible to trigger this condition by submitting a Transaction with an invalid input address (specifically one that does not match the hexadecimal format), and then querying the `/batch_statuses` endpoint after the validator rejects it.

This can be demonstrated with this python script from [~ailisp], who originally reported the issue:
 [https://gist.github.com/ailisp/6293ebdac7d6a07c33d55c0ed33b03c7]

Steps to reproduce:
 - From sawtooth-core run `docker-compose -f docker/compose/sawtooth-default.yaml up`
 - Save above script to `test.py`
 - Run `python test.py`

You should see logs similar to this:

{{sawtooth-validator-default | [2018-04-26 21:41:03.874 INFO     executor] Exception creating context: Address or namespace asdfsfasfss listed in inputs is not valid}}{{sawtooth-validator-default | [2018-04-26 21:41:03.974 DEBUG    publisher] Batch 94d20adbcf7a2eb8abf9b22b5dbdac5754af424b7a0232ef69cf3e5201406b1914985b2010091b12fdae229585ad076a2381bcd37121403623896830645a7405 invalid, not added to block.}}

Running `curl localhost:8008/batch_statuses?id=<id from logs>` should confirm the logs from the script. The batch is still pending.",,delventhalz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzwukn:",,,,,,,,,,,,,,,,,,,,,,,,,,delventhalz,,,,,,,,,,,,,,,,,,
Refactor block publisher to support consensus engine prototyping,STL-1204,29767,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,adamludvik,adamludvik,adamludvik,28/Apr/18 12:31 AM,18/May/18 4:23 PM,28/Oct/23 3:34 AM,11/May/18 4:19 AM,,,,,,,,,,,0,,,,,,,,adamludvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-814,,,,,,,,,,,"1|hzz7rb:",,,,,,Sprint 51,,,,,,,,2.0,,,,,,,,,,,,adamludvik,,,,,,,,,,,,,,,,,,
Prototype consensus engine support,STL-1205,29768,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,adamludvik,adamludvik,adamludvik,28/Apr/18 12:31 AM,24/May/18 3:52 AM,28/Oct/23 3:34 AM,24/May/18 3:52 AM,,,,,,,,,,,0,,,,,,,,adamludvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-814,,,,,,,,,,,"1|hzz7un:",,,,,,Sprint 51,,,,,,,,3.0,,,,,,,,,,,,adamludvik,,,,,,,,,,,,,,,,,,
Implement devmode consensus engine in Rust,STL-1206,29769,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,drozd,adamludvik,adamludvik,28/Apr/18 12:32 AM,25/May/18 1:51 AM,28/Oct/23 3:34 AM,25/May/18 1:51 AM,,,,,,,,,,,0,,,,,,,,adamludvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-1208,,,,,,,,,,,"1|hzz7uv:",,,,,,Sprint 51,,,,,,,,5.0,,,,,,,,,,,,adamludvik,,,,,,,,,,,,,,,,,,
ztest scalability issues,STL-1207,29784,,Bug,Backlog,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,dan.middleton@intel.com,benoit.razet,benoit.razet,28/Apr/18 4:48 AM,21/May/19 11:34 PM,28/Oct/23 3:34 AM,,,,,,,,,,,,0,Needs-Review,,,,,"This ticket is coming in the context of experiencing hard times with the ztest in a network of 4 validators. What we would experience is having validators freezing. Looking into the current implementation of the ztest, I found several lines of code that are troubling while trying to figure out what the ztest is doing. Maybe the most questionable part is discovering that validators, when they perform the ztest, will inspect almost each block published onchain to this date to decide if the a block pass the ztest or not.

Reproducibility: based on the branch https://github.com/benoitrazet/sawtooth-core/tree/ztest-scalability-issues

run the test_poet_liveness with

`./bin/run_docker_test test_poet_liveness`

monitor the logs of the second validator to see the number blocks inspected to decide the ztest. This number is incrementally increasing as the chain grows:

`docker logs latest_validator-2_1 2>&1 | grep ""zTest succeeded""`

!Screen Shot 2018-04-27 at 3.28.26 PM.png|width=424,height=53!

What is striking here is `zTest succeeded with depth 389` which indicates that the validator has been going through 389 blocks to decide that the candidate block is valid. Things only get worse when the number of blocks increase.

The lines of code that are relevant for this issue are:

https://github.com/hyperledger/sawtooth-core/blob/289dce37db23f58427606f572980ac6eade748e8/consensus/poet/core/sawtooth_poet/poet_consensus/consensus_state.py#L366

https://github.com/hyperledger/sawtooth-core/blob/289dce37db23f58427606f572980ac6eade748e8/consensus/poet/core/sawtooth_poet/poet_consensus/consensus_state.py#L891

This problem seems to be related to another bug we observed in the following ticket:

https://jira.hyperledger.org/browse/STL-1121

Might be a good time to revisit the ztest code. I'd be happy to do it but after spending several hours experimenting and looking into the code, I feel I am missing a part of the story about the ztest by just looking at the resource available to figure this out.",,benoit.razet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28/Apr/18 4:28 AM;benoit.razet;Screen Shot 2018-04-27 at 3.28.26 PM.png;https://jira.hyperledger.org/secure/attachment/14925/Screen+Shot+2018-04-27+at+3.28.26+PM.png",,,,,,,,,,,,,,,,STL-1289,,,,,,,,,,,"1|hzz7zb:",,,,,,,,,,,,,,,,,,,,,,,,,,benoit.razet,,,,,,,,,,,,,,,,,,
Devmode Consensus Engine,STL-1208,29785,,Epic,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,mfford,mfford,mfford,28/Apr/18 5:03 AM,04/Jun/18 11:26 PM,28/Oct/23 3:34 AM,04/Jun/18 11:26 PM,,,,,,,,,,,0,,,,,,Implement a Rust Devmode Consensus engine which uses the Rust Consensus SDK.,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-9,,Devmode Consensus Engine,Done,,,,,,,,,"1|hzxs3r:",,,,,,,,,,,,,,,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,
Fix intermittent namespace permissioning test failure,STL-1209,29788,,Bug,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,,adamludvik,adamludvik,28/Apr/18 5:57 AM,31/May/19 12:06 AM,28/Oct/23 3:34 AM,31/May/19 12:06 AM,,,,,,,,,,,0,hackillinois,help-wanted,Needs-Review,,,The namespace permissioning test fails intermittently with an urllib.error.HTTPError: HTTP Error 503 or 404. This is presumably because the test relies on some blocks being committed over a period of time while it sleeps. The test is in integration/sawtooth_integration/tests/test_namespace_permissioning.py. The test should be reworked to not use a sleep.,,adamludvik,Kirill_Vusik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzwuiv:",,,,,,,,,,,,,,,,,,,,,,,,,,adamludvik,Kirill_Vusik,,,,,,,"31/May/19 12:06 AM;Kirill_Vusik;It looks like it was fixed in [https://github.com/hyperledger/sawtooth-core/commit/1246bcfd94aa3fe55be64a8bfc30da3c9eb9fa04];;;",,,,,,,,,,
Access Rust Merkle Trie via Python,STL-1210,29789,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,pschwarz,pschwarz,pschwarz,28/Apr/18 7:22 AM,03/May/18 1:09 AM,28/Oct/23 3:34 AM,03/May/18 1:09 AM,,,,,,,,,,,0,,,,,,,,pschwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-1133,,,,,,,,,,,"1|hzz40v:",,,,,,Sprint 50,Sprint 51,,,,,,,5.0,,,,,,,,,,,,pschwarz,,,,,,,,,,,,,,,,,,
Create and Coordinate JJB Transition to Hyperledger Sawtooth Technical Support,STL-1212,29821,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,rberg2,mfford,mfford,01/May/18 3:04 AM,21/May/19 4:58 AM,28/Oct/23 3:34 AM,21/May/19 4:58 AM,,,,,,,,,,,0,,,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-1138,,,,,,,,,,,"1|hzwuh3:",,,,,,Sprint 51,Sprint 52,Sprint 53,,,,,,5.0,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,
Research Generic Ansible Roles for Sawtooth Components,STL-1213,29822,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,rberg2,mfford,mfford,01/May/18 3:13 AM,10/May/18 1:11 AM,28/Oct/23 3:34 AM,10/May/18 1:11 AM,,,,,,,,,,,0,,,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-1135,,,,,,,,,,,"1|hzz85r:",,,,,,Sprint 51,,,,,,,,2.0,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,
Test Generic Ansible Roles for Sawtooth Components,STL-1214,29823,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,rberg2,mfford,mfford,01/May/18 3:14 AM,16/Jun/18 1:05 AM,28/Oct/23 3:34 AM,16/Jun/18 1:05 AM,,,,,,,,,,,0,,,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-1135,,,,,,,,,,,"1|hzz867:",,,,,,Sprint 51,Sprint 52,,,,,,,3.0,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,
Implement Generic Ansible Roles for Sawtooth Components,STL-1215,29824,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,rberg2,mfford,mfford,01/May/18 3:14 AM,01/Jun/18 12:31 AM,28/Oct/23 3:34 AM,01/Jun/18 12:31 AM,,,,,,,,,,,0,,,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-1135,,,,,,,,,,,"1|hzz86f:",,,,,,Sprint 51,,,,,,,,5.0,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,
PoET Simulator Consensus Engine,STL-1216,29826,,Epic,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,mfford,mfford,mfford,01/May/18 3:29 AM,08/Aug/18 12:03 AM,28/Oct/23 3:34 AM,08/Aug/18 12:03 AM,,,,,,,,,,,0,,,,,,"Re-factor the existing PoET Simulator Consensus implementation to use the new Python Consensus SDK. Additionally, PoET will be moved to a new Hyperledger repository, sawtooth-poet.

This consensus engine must pass LR1 and integration tests, to the same level as Sawtooth 1.0.

Work required specifically for PoET/SGX is out of scope. ",,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-6,,PoET Simulator Consensus Engin,Done,,,,,,,,,"1|hzxs7z:",,,,,,,,,,,,,,,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,
Investigate Shim for existing Python Consensus Modules,STL-1217,29827,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,drozd,mfford,mfford,01/May/18 3:31 AM,10/May/18 6:35 AM,28/Oct/23 3:34 AM,10/May/18 6:35 AM,,,,,,,,,,,0,,,,,,"Based on complexity during development, other options could be considered.",,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-1216,,,,,,,,,,,"1|hzz86n:",,,,,,Sprint 51,,,,,,,,3.0,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,
Implement Change Log,STL-1218,29830,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,pschwarz,pschwarz,pschwarz,01/May/18 4:09 AM,11/May/18 1:42 AM,28/Oct/23 3:34 AM,11/May/18 1:42 AM,,,,,,,,,,,0,,,,,,,,pschwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-1133,,,,,,,,,,,"1|hzz86v:",,,,,,Sprint 51,,,,,,,,3.0,,,,,,,,,,,,pschwarz,,,,,,,,,,,,,,,,,,
Implement Pruning,STL-1219,29831,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,pschwarz,pschwarz,pschwarz,01/May/18 4:10 AM,14/May/18 11:54 PM,28/Oct/23 3:34 AM,14/May/18 11:54 PM,,,,,,,,,,,0,,,,,,,,pschwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-1133,,,,,,,,,,,"1|hzz85z:",,,,,,Sprint 51,,,,,,,,5.0,,,,,,,,,,,,pschwarz,,,,,,,,,,,,,,,,,,
Implement Pruning Queue,STL-1220,29832,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,pschwarz,pschwarz,pschwarz,01/May/18 4:10 AM,08/Jun/18 6:13 AM,28/Oct/23 3:34 AM,08/Jun/18 6:13 AM,,,,,,,,,,,0,,,,,,,,pschwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-1133,,,,,,,,,,,"1|hzz873:",,,,,,Sprint 51,Sprint 52,,,,,,,3.0,,,,,,,,,,,,pschwarz,,,,,,,,,,,,,,,,,,
Implement PoET 2.0,STL-1221,29857,,Epic,Backlog,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,mfford,amolk,amolk,02/May/18 12:48 AM,21/May/19 11:32 PM,28/Oct/23 3:34 AM,,,,,,,,,,,,0,,,,,,,,amolk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ghx-label-12,,PoET 2.0 productization,To Do,,,,,,,,,"1|i00odj:000i",,,,,,,,,,,,,,,,,,,,,,,,,,amolk,,,,,,,,,,,,,,,,,,
Document PoET 2.0 spec,STL-1222,29858,,New Feature,In Progress,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,amolk,amolk,amolk,02/May/18 1:00 AM,15/Sep/20 2:31 PM,28/Oct/23 3:34 AM,,,,,,,,,,,,0,Needs-Review,,,,,Publish the PoET 2.0 spec as an RFC,,amolk,dan.middleton@intel.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-1221,,,,,,,,,,,"1|hzzgho:",,,,,,Sprint 51,Sprint 52,Sprint 53,Sprint 54,Sprint 55,,,,2.0,,,,,,,,,,,,amolk,dan.middleton@intel.com,,,,,,,"04/Jun/18 10:50 PM;dan.middleton@intel.com;Draft up as RFC: 
[https://github.com/hyperledger/sawtooth-rfcs/pull/12]

 ;;;",,,,,,,,,,
Implement PoET 2.0 network simulator,STL-1223,29860,,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,askmish,askmish,askmish,02/May/18 1:09 AM,02/Jul/18 9:31 PM,28/Oct/23 3:34 AM,02/Jul/18 9:31 PM,,,,,,,,,,,0,,,,,,"The simulator is intended to be a platform to test the various aspects of PoET 2.0 under different configurations.

AC:
 * Basic Simulator design done.
 * Simulator components implemented
 * Simulator basic functionality tested up to 5 nodes.",,askmish,dan.middleton@intel.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-1221,,,,,,,,,,,"1|hzz8cv:",,,,,,Sprint 51,Sprint 52,,,,,,,5.0,,,,,,,,,,,,askmish,dan.middleton@intel.com,,,,,,,"05/Jun/18 2:00 AM;dan.middleton@intel.com;Please clarify (perhaps in the title) whether this refers to the network simulation or an enclave simulator as we have in poet1. Per sprint planning discussion, this is believed to refer to the network simulation.

Assuming that's the case we should add criteria for clock drift and any other non-obvious criteria of the simulation.;;;",,,,,,,,,,
Testing PoET 2.0 sim behavior in different scenarios on docker,STL-1224,29861,,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,askmish,askmish,askmish,02/May/18 1:11 AM,09/Jul/18 11:57 PM,28/Oct/23 3:34 AM,09/Jul/18 11:57 PM,,,,,,,,,,,0,,,,,,"This story is intended to be followup to STL-1223. Once the base simulator is implemented, test the PoET 2.0 algorithm under different scenarios.

AC:
 * Create a docker version of the simulator
 * Test different network topologies, clock skew, network latencies etc
 * Test up to 25 nodes on a network - chain should be in sync, no forking.",,askmish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-1221,,,,,,,,,,,"1|hzz8d3:",,,,,,Sprint 51,Sprint 52,Sprint 53,,,,,,5.0,,,,,,,,,,,,askmish,,,,,,,,,,,,,,,,,,
Testing PoET 2.0 sim behavior in different scenarios on hardware,STL-1225,29862,,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,askmish,askmish,askmish,02/May/18 1:12 AM,09/Jul/18 11:56 PM,28/Oct/23 3:34 AM,09/Jul/18 11:56 PM,,,,,,,,,,,0,,,,,,"Similar to STL-1224, but on hardware.

 ",,askmish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-1221,,,,,,,,,,,"1|hzz8db:",,,,,,Sprint 51,Sprint 52,Sprint 53,,,,,,5.0,,,,,,,,,,,,askmish,,,,,,,,,,,,,,,,,,
Optimize PoET 2.0 sim based on feedback and tests,STL-1226,29863,,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,askmish,askmish,askmish,02/May/18 1:21 AM,24/Aug/18 1:12 AM,28/Oct/23 3:34 AM,24/Aug/18 1:12 AM,,,,,,,,,,,0,,,,,,"AC:
 * Evaluate results from simulator testing
 * Incorporate improvements to the simulator based on test results.
 * Rerun the simulator and verify",,askmish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-1221,,,,,,,,,,,"1|hzz8dj:",,,,,,Sprint 51,Sprint 52,Sprint 53,Sprint 54,,,,,5.0,,,,,,,,,,,,askmish,,,,,,,,,,,,,,,,,,
Design PoET 2.0,STL-1227,29864,,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,askmish,askmish,askmish,02/May/18 1:37 AM,24/Aug/18 1:13 AM,28/Oct/23 3:34 AM,24/Aug/18 1:13 AM,,,,,,,,,,,0,,,,,,Write a simple design doc (separate from the PoET spec) to describe the architecture/design of the PoET 2.0 component,,askmish,dan.middleton@intel.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-1221,,,,,,,,,,,"1|hzz8dr:",,,,,,Sprint 51,Sprint 52,Sprint 53,Sprint 54,,,,,5.0,,,,,,,,,,,,askmish,dan.middleton@intel.com,,,,,,,"04/Jun/18 10:56 PM;dan.middleton@intel.com;What will the output be of this story?;;;","05/Jun/18 2:07 AM;dan.middleton@intel.com;In the design please consider how this code will run on a machine that does not support SGX. We included a separate code path in PoET1 for an enclave simulator. 

I would prefer that this time we use a single code path and use the SGX SDK's simulator option to build the enclave.

Also a learning from poet1 to carry into poet2, is the naming convention for the enclave/protocol. Rather than refering to poet as simulator and sgx we should refer to the options as cft and bft for simulated enclave and actual enclave respectively.;;;",,,,,,,,,
"Make Rust Consensus SDK get_{blocks,settings,state} return hashmaps",STL-1228,29904,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,adamludvik,drozd,drozd,03/May/18 5:46 AM,26/May/18 1:02 AM,28/Oct/23 3:34 AM,26/May/18 1:02 AM,,,,,,,,,,,0,,,,,,,,drozd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-814,,,,,,,,,,,"1|hzwunj:",,,,,,Sprint 51,,,,,,,,1.0,,,,,,,,,,,,drozd,,,,,,,,,,,,,,,,,,
Research Sawtooth FAQs and existing Hyperledger training,STL-1229,29963,,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,achenette,achenette,achenette,05/May/18 1:05 AM,01/Jun/18 1:02 AM,28/Oct/23 3:34 AM,01/Jun/18 1:02 AM,,,,,,,,,,,0,,,,,,,,achenette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-1185,,,,,,,,,,,"1|hzz8u7:",,,,,,Sprint 51,,,,,,,,3.0,,,,,,,,,,,,achenette,,,,,,,,,,,,,,,,,,
Add unit test code coverage reporting for Rust components,STL-1230,29964,,Improvement,Backlog,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,mfford,Tom Barnes,Tom Barnes,05/May/18 1:29 AM,21/May/19 11:33 PM,28/Oct/23 3:34 AM,,,,,,,,,,,,0,Needs-Review,,,,,"Add unit test code coverage reporting for Rust components.  Reporting should be equivalent to that currently available for Python, e.g built into the build process.

One possible approach that appears to have traction in the Rust community is kcov. 

The project is located here:  [https://simonkagstrom.github.io/kcov/]

There is a recent tutorial here: [http://sunjay.ca/2016/07/25/rust-code-coverage]

...and an earlier tutorial here: [https://users.rust-lang.org/t/tutorial-how-to-collect-test-coverages-for-rust-project/650]

If this has significant impact on build time, then it should be implemented as a build-time switch and executed on nightly build, so that current metrics are available while not impacting PR builds.",,Tom Barnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzz8uf:",,,,,,,,,,,,,,,,,,,,,,,,,,Tom Barnes,,,,,,,,,,,,,,,,,,
