Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (External issue ID),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Update ParallelScheduler to handle explicit dependencies,STL-499,18353,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,boydjohnson,boydjohnson,boydjohnson,20/Jun/17 7:11 AM,05/Sep/17 2:48 AM,28/Oct/23 3:34 AM,05/Sep/17 2:48 AM,Validator Txn Execution,,,,,,0,,,,,"If a txn has explicit dependencies, it should first look to see if that txn is before it* in the scheduler, and then only if it is use that explicitly dependent txn as a gate on it being next transaction.

Because 'intkey workload' uses dependencies, the parallel scheduler won't work with intkey workload until this is done.

* We are relying on the completer to never allow the dependency to be after that batch with the transaction that lists the dependency.",,boydjohnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-47,,,,,,,,,,"1|hzy75z:",,,,,,Sprint 38,Sprint 39,Sprint 40,Sprint 41,,,,,,,,3.0,,,,,,,,,,,,boydjohnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Split scheduler tests.py file into multiple test files,STL-500,18425,Improvement,Invalid,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,boydjohnson,boydjohnson,boydjohnson,20/Jun/17 11:31 PM,25/May/21 4:30 AM,28/Oct/23 3:34 AM,,Validator Txn Execution,,,,,,0,Needs-Review,,,,"The single test file for the schedulers in the parallel-scheduler branch is really long. It would make more sense to break it into several test files, possibly test_serial_scheduler, test_parallel_scheduler, test_scheduler.",,amundson,boydjohnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy51b:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,amundson,boydjohnson,,,,,,,"25/May/21 4:30 AM;amundson;In preparation for a Sawtooth community transition from JIRA to Github issues, we are reviewing all issues within JIRA. This issue appears to be no longer applicable due to architectural changes in the current stable version of Sawtooth (v1.2), and so we are updating its status to invalid. If you believe this is in error, please help our migration efforts and re-open this issue in Github Issues at https://github.com/hyperledger/sawtooth-core/issues.
;;;",,,,,,,,,,,,,,,,,,,,,,
Refactor XO commands to output friendlier text,STL-501,18426,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,,dplumb,dplumb,20/Jun/17 11:46 PM,25/May/21 4:31 AM,28/Oct/23 3:34 AM,25/May/21 4:31 AM,XO Family,,,,,,0,Needs-Review,,,,"Currently, the XO command-line interface outputs raw json after each command. This should be refactored to output something friendlier and more descriptive to a user.",,dplumb,pschwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy51j:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,dplumb,pschwarz,,,,,,,"25/May/21 4:31 AM;pschwarz;Fixed in current stable version.;;;",,,,,,,,,,,,,,,,,,,,,,
Add --wait option to xo take,STL-502,18427,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,,dplumb,dplumb,20/Jun/17 11:50 PM,25/May/21 4:32 AM,28/Oct/23 3:34 AM,25/May/21 4:32 AM,,,,,,,0,Needs-Review,,,,"The xo CLI supports the --wait option, but it is not implemented for the ""take"" command. Functionality should be added to the ""take"" command to support this option.",,dplumb,pschwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy51r:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,dplumb,pschwarz,,,,,,,"25/May/21 4:32 AM;pschwarz;Fixed in current version;;;",,,,,,,,,,,,,,,,,,,,,,
Add argparse to java tps,STL-503,18433,Improvement,Won't Fix,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,boydjohnson,boydjohnson,boydjohnson,21/Jun/17 12:51 AM,25/May/21 4:36 AM,28/Oct/23 3:34 AM,,Java SDK,,,,,,0,Needs-Review,,,,Choose a relatively small argparse library and use it for the tp connection information.,,boydjohnson,pschwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy52n:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,boydjohnson,pschwarz,,,,,,,"25/May/21 4:36 AM;pschwarz;This is example code, and argparsing can be left as an exercise for the reader;;;",,,,,,,,,,,,,,,,,,,,,,
Update the Java sdk to be multithreaded,STL-504,18434,Improvement,Duplicate,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,boydjohnson,boydjohnson,boydjohnson,21/Jun/17 12:52 AM,25/May/21 4:40 AM,28/Oct/23 3:34 AM,,Java SDK,,,,,,0,Needs-Review,,,,"Currently the Java sdk is single threaded. The Go Sdk might be a good model, as it has an innovative design.",,boydjohnson,LeonardoCarvalho,pschwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-1427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy52v:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,boydjohnson,LeonardoCarvalho,pschwarz,,,,,,"25/May/21 4:40 AM;pschwarz;Duplicates https://github.com/hyperledger/sawtooth-sdk-java/issues/36;;;",,,,,,,,,,,,,,,,,,,,,,
validator without access to log directory gives Traceback,STL-505,18435,Bug,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,yarasan,amundson,amundson,21/Jun/17 1:36 AM,25/May/21 4:41 AM,28/Oct/23 3:34 AM,25/May/21 4:41 AM,Valdator Server,,,,,,0,help-wanted,Needs-Review,Usability,,"If the validator does not have access to the log directory, it displays a Traceback:

{noformat}
ubuntu@ubuntu-xenial:~$ validator -vv
[16:35:39.292 INFO     path] Skipping path loading from non-existent config file: /etc/sawtooth/path.toml
[16:35:39.293 INFO     validator] Skipping validator config loading from non-existent config file: /etc/sawtooth/validator.toml
[16:35:39.293 INFO     keys] Loading signing key: /etc/sawtooth/keys/validator.priv
Traceback (most recent call last):
  File ""/usr/bin/validator"", line 9, in <module>
    load_entry_point('sawtooth-validator==0.8.5', 'console_scripts', 'validator')()
  File ""/usr/lib/python3/dist-packages/sawtooth_validator/server/cli.py"", line 223, in main
    name=""validator-"" + pubkey[:8])
  File ""/usr/lib/python3/dist-packages/sawtooth_validator/server/log.py"", line 78, in log_configuration
    debug_handler = logging.FileHandler(log_filename + ""-debug.log"")
  File ""/usr/lib/python3.5/logging/__init__.py"", line 1008, in __init__
    StreamHandler.__init__(self, self._open())
  File ""/usr/lib/python3.5/logging/__init__.py"", line 1037, in _open
    return open(self.baseFilename, self.mode, encoding=self.encoding)
PermissionError: [Errno 13] Permission denied: '/var/log/sawtooth/validator-027aba6e-debug.log'
{noformat}

The desired behavior is something like:

{noformat}
$ validator
Error: [Errno 13] Permission denied: '/var/log/sawtooth/validator-027aba6e-debug.log'
{noformat}",,amundson,yarasan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzwukv:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,amundson,yarasan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debug scheduler never becoming complete,STL-506,18563,Bug,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,pschwarz,boydjohnson,boydjohnson,22/Jun/17 11:07 PM,12/Jul/17 12:23 AM,28/Oct/23 3:34 AM,12/Jul/17 12:23 AM,Validator Txn Execution,,,,,,0,,,,,"On AWS often, and in test_poet_smoke.yaml sometimes, block validation within the validator fails to get a complete schedule; scheduler.complete(block=True) is called and never returns.",,boydjohnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy5c7:",,,,,,Sprint 37,Sprint 38,,,,,,,,,,3.0,,,,,,,,,,,,boydjohnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update Java XO to match docs,STL-507,18620,Improvement,Invalid,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,,dplumb,dplumb,24/Jun/17 3:30 AM,25/May/21 4:39 AM,28/Oct/23 3:34 AM,,,,,,,,0,Needs-Review,,,,"The Java XO transaction processor needs to be refactored to match the TP tutorial document. The functionality is correct, but the code can be simplified to match other implementations.",,amundson,dplumb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy5jb:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,amundson,dplumb,,,,,,,"25/May/21 4:39 AM;amundson;In preparation for a Sawtooth community transition from JIRA to Github issues, we are reviewing all issues within JIRA. This issue does not contain enough information to understand the reported feature or bug, and therefore we are updating its status to invalid. If you believe this is in error, please help our migration efforts and re-open this issue in Github Issues at https://github.com/hyperledger/sawtooth-sdk-java/issues.;;;",,,,,,,,,,,,,,,,,,,,,,
Batches submitted via REST API during genesis are lost,STL-508,18637,Bug,Duplicate,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,pschwarz,pschwarz,pschwarz,24/Jun/17 5:26 AM,25/May/21 4:51 AM,28/Oct/23 3:34 AM,,Validator Journal,,,,,,0,Needs-Review,,,,"When a batch is submitted via the REST API to a validator that is processing the genesis block, it will be lost.  

Steps to reproduce:

1. Create a genesis block with at least one sawtooth settings transaction
2. Start a validator process
3. Start a REST API process
4. Submit an intkey transaction (via intkey load, for example). 
5. Start {{tp_settings}}
6. Start {{tp_intkey_python}}

At this point, the genesis block will be created, but the intkey transaction(s) will not be processed.  

To fix this, either:

- the batch should be preserved in a pending queue (which would require journal being active)
- do not accept client messages until the genesis block is complete (probably the most desirable) ",,pschwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy5m7:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,pschwarz,,,,,,,,"25/May/21 4:51 AM;pschwarz;Duplicate of https://github.com/hyperledger/sawtooth-core/issues/2377;;;",,,,,,,,,,,,,,,,,,,,,,
intkey and xo commands produce bad output without arguments,STL-509,18699,Bug,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,drozd,boydjohnson,boydjohnson,27/Jun/17 8:05 AM,26/Oct/17 12:54 AM,28/Oct/23 3:34 AM,26/Oct/17 12:54 AM,sawtooth CLI,,,,,,0,,,,,"{{docker exec -it sawtooth-client-default bash}}
{{root@bdd0cd71cfd1:/# xo}}
{{Error: invalid command: None}}
{{root@bdd0cd71cfd1:/# intkey}}
{{<_io.TextIOWrapper name='<stderr>' mode='w' encoding='ANSI_X3.4-1968'> Error: invalid command: None}}

{{It would be nice if intkey and xo would give usage messages if a required positional argument is missing.}}",,boydjohnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-351,,,,,,,,,,"1|hzxn53:",,,,,,Sprint 44,,,,,,,,,,,1.0,,,,,,,,,,,,boydjohnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modify App Dev Guide ubuntu section to not require root user,STL-510,18713,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,amundson,amundson,amundson,27/Jun/17 11:55 PM,11/Jul/17 4:33 AM,28/Oct/23 3:34 AM,27/Jun/17 11:56 PM,sawtooth-core,,,,,,0,,,,,"The App Dev guide should not assume all commands need to be run w/root.  Instead, it should provide sudo when appropriate and run services as sawtooth and user commands as the regular user.
",,achenette,amundson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy4mn:",,,,,,Sprint 37,,,,,,,,,,,2.0,,,,,,,,,,,,achenette,amundson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ensure REST API works properly behind a Digest Auth proxy,STL-512,18718,New Feature,Invalid,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,,delventhalz,delventhalz,28/Jun/17 1:21 AM,25/May/21 4:52 AM,28/Oct/23 3:34 AM,25/May/21 4:43 AM,REST API,,,,,,0,hackillinois,help-wanted,Needs-Review,,"Although the REST API will not implement Digest Auth internally, it should continue to function as expected when placed behind a proxy that does. Test REST API functionality behind a simple Digest Auth proxy, and make any changes necessary (if any). Pay special attention that the response ""link"" and any other metadata is correct.",,amundson,delventhalz,nickylimjj,,,,,,,,,,,,,,,,,STL-513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-463,,,,,,,,,,"1|hzy5yn:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,amundson,delventhalz,nickylimjj,,,,,,"25/May/21 4:43 AM;amundson;In preparation for a Sawtooth community transition from JIRA to Github issues, we are reviewing all issues within JIRA. This issue appears to have been addressed in the current stable version of Sawtooth (v1.2), so we are updating its status to done. If you believe this is in error, please help our migration efforts and re-open this issue in Github Issues at https://github.com/hyperledger/sawtooth-core/issues.
;;;","25/May/21 4:52 AM;amundson;Correction, this was not implemented.

In preparation for a Sawtooth community transition from JIRA to Github issues, we are reviewing all issues within JIRA. This issue appears to be no longer applicable due to architectural changes in the current stable version of Sawtooth (v1.2), and so we are updating its status to invalid. If you believe this is in error, please help our migration efforts and re-open this issue in Github Issues at https://github.com/hyperledger/sawtooth-core/issues.;;;",,,,,,,,,,,,,,,,,,,,,
Write Integration Test for REST API behind Digest Auth proxy,STL-513,18719,New Feature,Invalid,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,,delventhalz,delventhalz,28/Jun/17 1:26 AM,25/May/21 4:44 AM,28/Oct/23 3:34 AM,,Integration Tests,REST API,,,,,0,hackillinois,help-wanted,Needs-Review,,"Should ensure that the REST API continues to behave as expected when placed behind a Digest Auth proxy. 

Will likely function similarly to the existing Basic Auth proxy test:
https://github.com/hyperledger/sawtooth-core/blob/master/integration/sawtooth_integration/tests/test_basic_auth_proxy.py",,amundson,delventhalz,,,,,,,,,,,,,STL-512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-463,,,,,,,,,,"1|hzy5yv:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,amundson,delventhalz,,,,,,,"25/May/21 4:44 AM;amundson;In preparation for a Sawtooth community transition from JIRA to Github issues, we are reviewing all issues within JIRA. This issue appears to be no longer applicable due to architectural changes in the current stable version of Sawtooth (v1.2), and so we are updating its status to invalid. If you believe this is in error, please help our migration efforts and re-open this issue in Github Issues at https://github.com/hyperledger/sawtooth-core/issues.;;;",,,,,,,,,,,,,,,,,,,,,,
Add Digest Auth support to the Sawtooth CLI,STL-514,18720,New Feature,Invalid,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,,delventhalz,delventhalz,28/Jun/17 1:31 AM,25/May/21 4:52 AM,28/Oct/23 3:34 AM,,sawtooth CLI,,,,,,0,help-wanted,Needs-Review,,,"In addition to the existing Basic Auth support, the Sawtooth CLI should have command-line arguments and/or config options which allow it to authorize itself properly when the REST API is behind a Digest Auth proxy. Use curl's implementation as a reference.",,agunde,delventhalz,,,,,,,,,,,,,,,,,,,,,,,,,,STL-515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-463,,,,,,,,,,"1|hzy5z3:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,agunde,delventhalz,,,,,,,"25/May/21 4:52 AM;agunde;In preparation for a Sawtooth community transition from JIRA to Github issues, we are reviewing all issues within JIRA. This issue appears to be no longer applicable due to architectural changes in the current stable version of Sawtooth (v1.2), and so we are updating its status to invalid. If you believe this is in error, please help our migration efforts and re-open this issue in Github Issues at https://github.com/hyperledger/sawtooth-core/issues.;;;",,,,,,,,,,,,,,,,,,,,,,
Add Digest Auth support to the IntKey CLI,STL-515,18721,New Feature,Invalid,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,,delventhalz,delventhalz,28/Jun/17 1:38 AM,25/May/21 4:53 AM,28/Oct/23 3:34 AM,,,,,,,,0,help-wanted,Needs-Review,,,"In addition to the existing Basic Auth support, the XO CLI should have command-line arguments and/or config options which allow it to authorize itself properly when the REST API is behind a Digest Auth proxy. Use curl's implementation as a reference.",,agunde,delventhalz,,,,,,,,,,,,,,,,,,,,,,,,,,STL-516,,,STL-514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-463,,,,,,,,,,"1|hzy5zb:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,agunde,delventhalz,,,,,,,"25/May/21 4:52 AM;agunde;In preparation for a Sawtooth community transition from JIRA to Github issues, we are reviewing all issues within JIRA. This issue appears to be no longer applicable due to architectural changes in the current stable version of Sawtooth (v1.2), and so we are updating its status to invalid. If you believe this is in error, please help our migration efforts and re-open this issue in Github Issues at https://github.com/hyperledger/sawtooth-core/issues.;;;",,,,,,,,,,,,,,,,,,,,,,
Add Digest Auth support to the XO CLI,STL-516,18722,New Feature,Invalid,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,,delventhalz,delventhalz,28/Jun/17 1:39 AM,25/May/21 4:53 AM,28/Oct/23 3:34 AM,,,,,,,,0,help-wanted,Needs-Review,,,"In addition to the existing Basic Auth support, the IntKey CLI should have command-line arguments and/or config options which allow it to authorize itself properly when the REST API is behind a Digest Auth proxy. Use curl's implementation as a reference.",,agunde,delventhalz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-463,,,,,,,,,,"1|hzy5zj:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,agunde,delventhalz,,,,,,,"25/May/21 4:53 AM;agunde;In preparation for a Sawtooth community transition from JIRA to Github issues, we are reviewing all issues within JIRA. This issue appears to be no longer applicable due to architectural changes in the current stable version of Sawtooth (v1.2), and so we are updating its status to invalid. If you believe this is in error, please help our migration efforts and re-open this issue in Github Issues at https://github.com/hyperledger/sawtooth-core/issues.;;;",,,,,,,,,,,,,,,,,,,,,,
Workload generator error when auth info is not supplied as an argument,STL-517,18766,Bug,Invalid,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,dplumb,dplumb,dplumb,29/Jun/17 5:39 AM,25/May/21 4:55 AM,28/Oct/23 3:34 AM,,,,,,,,0,Needs-Review,,,,"When the workload generator is run, it is required that auth_info is supplied as an argument. This should be fixed so that transaction processor clients can implement a workload without implementing basic auth.",,dplumb,pschwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxn7j:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,dplumb,pschwarz,,,,,,,"25/May/21 4:55 AM;pschwarz;In preparation for a Sawtooth community transition from JIRA to Github issues, we are reviewing all issues within JIRA. This issue does not contain enough information to understand the reported feature or bug, and therefore we are updating its status to invalid. If you believe this is in error, please help our migration efforts and re-open this issue in Github Issues at https://github.com/hyperledger/sawtooth-core/issues.
;;;",,,,,,,,,,,,,,,,,,,,,,
Recommended Set-up: Create Diagrams & Descriptions,STL-518,18831,Improvement,Invalid,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,,mfford,mfford,30/Jun/17 5:22 AM,25/May/21 4:56 AM,28/Oct/23 3:34 AM,,,,,,,,0,Needs-Review,,,,,,agunde,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-331,,,,,,,,,,"1|hzy6f3:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,agunde,mfford,,,,,,,"25/May/21 4:56 AM;agunde;In preparation for a Sawtooth community transition from JIRA to Github issues, we are reviewing all issues within JIRA. This issue does not contain enough information to understand the reported feature or bug, and therefore we are updating its status to invalid. If you believe this is in error, please help our migration efforts and re-open this issue in Github Issues at https://github.com/hyperledger/sawtooth-core/issues.;;;",,,,,,,,,,,,,,,,,,,,,,
Recommended Set-up: Create Networking Section,STL-519,18832,Improvement,Invalid,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,,mfford,mfford,30/Jun/17 5:23 AM,25/May/21 4:56 AM,28/Oct/23 3:34 AM,,,,,,,,0,Needs-Review,,,,,,agunde,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-331,,,,,,,,,,"1|hzy6fb:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,agunde,mfford,,,,,,,"25/May/21 4:56 AM;agunde;In preparation for a Sawtooth community transition from JIRA to Github issues, we are reviewing all issues within JIRA. This issue does not contain enough information to understand the reported feature or bug, and therefore we are updating its status to invalid. If you believe this is in error, please help our migration efforts and re-open this issue in Github Issues at https://github.com/hyperledger/sawtooth-core/issues.;;;",,,,,,,,,,,,,,,,,,,,,,
Deployment: Create Upgrading Section,STL-520,18833,Improvement,Invalid,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,,mfford,mfford,30/Jun/17 5:23 AM,25/May/21 4:56 AM,28/Oct/23 3:34 AM,,,,,,,,0,Needs-Review,,,,,,agunde,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-331,,,,,,,,,,"1|hzy6fj:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,agunde,mfford,,,,,,,"25/May/21 4:56 AM;agunde;In preparation for a Sawtooth community transition from JIRA to Github issues, we are reviewing all issues within JIRA. This issue does not contain enough information to understand the reported feature or bug, and therefore we are updating its status to invalid. If you believe this is in error, please help our migration efforts and re-open this issue in Github Issues at https://github.com/hyperledger/sawtooth-core/issues.;;;",,,,,,,,,,,,,,,,,,,,,,
Deployment: Create Deployment with SGX Section,STL-521,18834,Improvement,Invalid,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,,mfford,mfford,30/Jun/17 5:23 AM,25/May/21 4:57 AM,28/Oct/23 3:34 AM,,,,,,,,0,Needs-Review,,,,,,agunde,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-331,,,,,,,,,,"1|hzy6fr:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,agunde,mfford,,,,,,,"25/May/21 4:57 AM;agunde;In preparation for a Sawtooth community transition from JIRA to Github issues, we are reviewing all issues within JIRA. This issue does not contain enough information to understand the reported feature or bug, and therefore we are updating its status to invalid. If you believe this is in error, please help our migration efforts and re-open this issue in Github Issues at https://github.com/hyperledger/sawtooth-core/issues.;;;",,,,,,,,,,,,,,,,,,,,,,
Deployment: Installing from Repository,STL-522,18835,Improvement,Invalid,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,,mfford,mfford,30/Jun/17 5:24 AM,25/May/21 4:56 AM,28/Oct/23 3:34 AM,,,,,,,,0,Needs-Review,,,,,,mfford,pschwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-331,,,,,,,,,,"1|hzy6fz:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,mfford,pschwarz,,,,,,,"25/May/21 4:56 AM;pschwarz;In preparation for a Sawtooth community transition from JIRA to Github issues, we are reviewing all issues within JIRA. This issue does not contain enough information to understand the reported feature or bug, and therefore we are updating its status to invalid. If you believe this is in error, please help our migration efforts and re-open this issue in Github Issues at https://github.com/hyperledger/sawtooth-core/issues.
;;;",,,,,,,,,,,,,,,,,,,,,,
