Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Issue split),Outward issue link (Issue split),Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment
Cleanup Grid Dockerfile,GRID-29,39946,,Improvement,Complete,GRID,Grid,software,amundson,,,Medium,Done,ryanbeck,amundson,amundson,21/May/19 5:22 AM,25/Sep/19 3:19 AM,28/Oct/23 2:25 AM,25/Sep/19 3:19 AM,,0,,,"Take a pass at cleaning up the Dockerfile as much as possible (for readability, etc.).",,amundson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzwu9b:5wr",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),amundson,,,,,,,,,
Grid Product RFC,GRID-30,39947,,Improvement,Complete,GRID,Grid,software,amundson,,,Medium,Done,adeeb.ahmed,pschwarz,pschwarz,21/May/19 5:22 AM,11/Sep/19 4:20 AM,28/Oct/23 2:25 AM,11/Sep/19 4:20 AM,,0,,,"Write an RFC for Grid Product, namely based around GS1 product fields.",,mattp,pschwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-19,,,No,,Unset,No,,,"1|i00ocv:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mattp,pschwarz,,,,,"28/Aug/19 1:19 AM;mattp;In final comment period slated to complete 8/30.;;;",,,
Add Cargo Workspace file to Grid,GRID-31,39948,,Improvement,Complete,GRID,Grid,software,amundson,,,Medium,Done,amundson,amundson,amundson,21/May/19 5:24 AM,23/Oct/19 5:42 AM,28/Oct/23 2:25 AM,23/Oct/19 5:42 AM,,0,,,We need a workspace file at the top of the grid repo.,,amundson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzwu9b:5x",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),amundson,,,,,,,,,
Add Grid Primitives RFC,GRID-32,39949,,Improvement,Complete,GRID,Grid,software,amundson,,,Medium,Done,pschwarz,pschwarz,pschwarz,21/May/19 5:24 AM,11/Sep/19 2:59 AM,28/Oct/23 2:25 AM,11/Sep/19 2:59 AM,,0,,,RFC PR: https://github.com/hyperledger/grid-rfcs/pull/4,,pschwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-28,,,No,,Unset,No,,,"1|i00od3:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),pschwarz,,,,,,,,,
Add key creation to the Grid CLI,GRID-34,39982,,New Feature,Complete,GRID,Grid,software,amundson,,,Medium,Done,eloafran,agunde,agunde,21/May/19 11:11 PM,19/Jun/19 12:45 AM,28/Oct/23 2:25 AM,19/Jun/19 12:45 AM,,0,,,We should be able to create key directly from the grid cli instead of using sawtooth keygen. ,,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00qrv:y",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,,,
Admin agents should not be able to remove the admin role from themselves,GRID-35,39983,,Bug,Complete,GRID,Grid,software,amundson,,,Medium,Done,eloafran,agunde,agunde,21/May/19 11:16 PM,12/Jun/19 11:47 PM,28/Oct/23 2:25 AM,12/Jun/19 11:47 PM,,0,,,"Currently, if a Pike admin agent updates themselves to have new roles, but does not include the admin role it will be removed. This should not be allowed, similar to how an admin agent cannot deactivate themselves. This avoids the issue where an organization may be left with no admins. ",,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00qrv:w",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,,,
Grid Sabre Support,GRID-37,40029,,Epic,Backlog,GRID,Grid,software,amundson,,,Medium,,,amundson,amundson,22/May/19 1:32 AM,25/Sep/19 5:08 AM,28/Oct/23 2:25 AM,,,0,,,Convert all the transaction processors within Grid to run as Sabre contracts. Includes anything we need to do to be fully Sabre-ized.,,amundson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,ghx-label-2,,Grid Sabre Support,To Do,No,,Unset,No,,,"1|i00cx6:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),amundson,,,,,,,,,
Verify Grid documentation reflects Sabre-ization,GRID-38,40031,,Task,Complete,GRID,Grid,software,amundson,,,Medium,Done,ryanbeck,amundson,amundson,22/May/19 1:59 AM,12/Jun/19 10:43 PM,28/Oct/23 2:25 AM,12/Jun/19 10:43 PM,,0,,,"Verify that the documentation reflects our use of Sabre. Two pieces:

1. Verify correctness of current content.
2. For any obvious omissions, open issues in this epic (GRID-37).",,amundson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-37,,,No,,Unset,No,,,"1|i00ono:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),amundson,,,,,,,,,
Update existing Track and Trace documentation to reflect changes,GRID-39,40033,,Improvement,Complete,GRID,Grid,software,amundson,,,Medium,Done,dplumb,amundson,amundson,22/May/19 2:06 AM,04/Jun/19 6:51 AM,28/Oct/23 2:25 AM,04/Jun/19 6:51 AM,,0,,,The recent changes (integration into gridd and adopting pike/schema) should be reflected in the Grid documentation. This includes the smart contract specification and any other documentation impacted.,,amundson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-10,,,No,,Unset,No,,,"1|i00oo4:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),amundson,,,,,,,,,
Implement fetch property endpoint,GRID-40,40035,,New Feature,Complete,GRID,Grid,software,amundson,,,Medium,Done,eloafran,dplumb,dplumb,22/May/19 3:20 AM,12/Jun/19 1:09 AM,28/Oct/23 2:25 AM,12/Jun/19 1:09 AM,,0,,,Implement the `GET /record/\{record_id}/property/\{property_name}` endpoint.,,dplumb,,,,,,,,,,,,GRID-52,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-10,,,No,,Unset,No,,,"1|i00ook:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),dplumb,,,,,,,,,
Update Track and Trace UI Records,GRID-41,40037,,Improvement,Complete,GRID,Grid,software,amundson,,,Medium,Done,newhall,dplumb,dplumb,22/May/19 3:45 AM,25/Jun/19 11:34 PM,28/Oct/23 2:25 AM,25/Jun/19 11:34 PM,,0,,,"Update the records in the Track and Trace UIs to use schema transactions where appropriate, and fetch record and schema data from the Gridd Rest API",,dplumb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-10,,,No,,Unset,No,,,"1|i00oo8:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),dplumb,,,,,,,,,
Determine macro strategy for builders and plain rust data objects,GRID-42,40039,,Improvement,In Review,GRID,Grid,software,amundson,,,Medium,,RobinBanks,pschwarz,pschwarz,22/May/19 3:57 AM,02/Jul/19 5:36 AM,28/Oct/23 2:25 AM,,,0,,,"Determine macro strategy for builders and plain rust data objects.  These macros should improve the process of generating builders for the rust data objects (for example, a Pike Agent).",,pschwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00op8:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),pschwarz,,,,,,,,,
Update Track and Trace UIs to be Sabre compatible,GRID-43,40040,,Improvement,Complete,GRID,Grid,software,amundson,,,Medium,Done,dplumb,dplumb,dplumb,22/May/19 3:59 AM,14/Jun/19 3:34 AM,28/Oct/23 2:25 AM,14/Jun/19 3:34 AM,,0,,,Ensure that Track and Trace UIs are capable of sending Sabre transactions,,dplumb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-10,,,No,,Unset,No,,,"1|i00ooa:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),dplumb,,,,,,,,,
Find a solution for Google Maps plugin,GRID-44,40043,,Improvement,Complete,GRID,Grid,software,amundson,,,Medium,Done,newhall,dplumb,dplumb,22/May/19 4:41 AM,27/Jun/19 12:08 AM,28/Oct/23 2:25 AM,27/Jun/19 12:08 AM,,0,,,"The Google Maps plugin requires an API key, which may require a credit card attached to the key holder's account. This might not be ideal for the demos. Find and implement a solution (different plugin or api key) that will allow us to use the mapping functionality in the demos.",,dplumb,newhall,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-10,,,No,,Unset,No,,,"1|i00oob:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),dplumb,newhall,,,,,"31/May/19 4:18 AM;newhall;Decided to implement OpenLayers API;;;",,,
Participate in Grid doc planning,GRID-45,40045,,Improvement,Complete,GRID,Grid,software,amundson,,,Medium,Done,achenette,achenette,achenette,22/May/19 4:59 AM,01/Jun/19 7:12 AM,28/Oct/23 2:25 AM,01/Jun/19 7:12 AM,,0,,,Related to GRID-26,,achenette,,,,28800,28800,,0%,28800,28800,,,,,,,,,,,,GRID-26,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzwu9b:5yzw",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),achenette,,,,,,,,,
Propose techncial subteam for voting on technical RFCs,GRID-47,40049,,Task,Complete,GRID,Grid,software,amundson,,,Medium,Done,amundson,amundson,amundson,22/May/19 6:29 AM,03/Jul/19 4:08 AM,28/Oct/23 2:25 AM,03/Jul/19 4:08 AM,,0,,,It is desirable to have a larger subteam of maintainers vote on technical RFCs.,,amundson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-12,,,No,,Unset,No,,,"1|i00opc:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),amundson,,,,,,,,,
Propose GS1 subteam for voting on GS1-related RFCs,GRID-48,40050,,Task,Complete,GRID,Grid,software,amundson,,,Medium,Done,amundson,amundson,amundson,22/May/19 6:35 AM,03/Jul/19 4:42 AM,28/Oct/23 2:25 AM,03/Jul/19 4:42 AM,,0,,,"For RFCs related to GS1 standards, it would be useful to have a subteam of GS1 experts to review and approve the RFCs.",,amundson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-12,,,No,,Unset,No,,,"1|i00opa:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),amundson,,,,,,,,,
Fix bugs in Track and Trace SDE,GRID-49,40069,,Bug,Complete,GRID,Grid,software,amundson,,,Medium,Done,eloafran,eloafran,eloafran,23/May/19 1:43 AM,25/May/19 4:32 AM,28/Oct/23 2:25 AM,25/May/19 4:32 AM,,0,,,"Fix a bugs in the SDE
 * The reporter's table needs a record_id field (schema, models and related methods need to be updated accordingly)
 * current_page in the Property model should be i32 and not i64
 * update_property_end_block_num should take in record_id as well",,eloafran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-10,,,No,,Unset,No,,,"1|hzwu9b:5yzc",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),eloafran,,,,,,,,,
Move DB Migrations to CLI,GRID-50,40135,,Improvement,Complete,GRID,Grid,software,amundson,,,Medium,Done,eloafran,pschwarz,pschwarz,25/May/19 12:28 AM,03/Jul/19 6:05 AM,28/Oct/23 2:25 AM,03/Jul/19 6:05 AM,,0,,,"Move the DB migration execution from gridd to a grid cli subcommand.  This should allow for an admin (with different permissions in the db instance) to run the migrations, and the grid daemon can be locked down to just reading/writing from the existing tables.

 

-The grid daemon should, however, know if it requires a migration, log an error and exit.- This check will be completed as part of a separate story:  [GRID-87|https://jira.hyperledger.org/browse/GRID-87] 

 

 ",,pschwarz,,,,,,,,,,,,,,,,,,,,GRID-87,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00p70:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),pschwarz,,,,,,,,,
Add Track and Trace UI Organizations,GRID-51,40139,,New Feature,Complete,GRID,Grid,software,amundson,,,Medium,Done,newhall,newhall,newhall,25/May/19 1:14 AM,05/Jun/19 3:21 AM,28/Oct/23 2:25 AM,05/Jun/19 3:21 AM,,0,,,Add functionality to the Track and Trace clients to create and update Pike organizations.,,newhall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-10,,,No,,Unset,No,,,"1|i00p7w:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),newhall,,,,,,,,,
Fix bugs in Track and Trace SDE 2,GRID-52,40145,,Bug,Complete,GRID,Grid,software,amundson,,,Medium,Done,eloafran,eloafran,eloafran,25/May/19 4:39 AM,03/Jun/19 11:44 PM,28/Oct/23 2:25 AM,03/Jun/19 11:44 PM,,0,,,"* Transfer fields from GridPropertyValue table into ReportedValues table 
 * Remove GridPropertyValue table.
 * Make necessary changes to SDE, schema, models and database methods
 * Add receiving_agent to update_proposal_end_block_num methods. record_id + receiving_agent is necessary to identify a proposal.",,eloafran,,,,,,,,,,,,,GRID-40,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-10,,,No,,Unset,No,,,"1|i00p8k:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),eloafran,,,,,,,,,
Create Troubleshooting Guide for Grid,GRID-53,40191,,Improvement,Backlog,GRID,Grid,software,amundson,,,Medium,,dplumb,mfford,mfford,29/May/19 4:48 AM,05/Jun/19 12:56 AM,28/Oct/23 2:25 AM,,,0,,,Use the format created when developing the document for sawtooth-core.,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00pi4:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mfford,,,,,,,,,
Add rust native implementations to the grid SDK protocols,GRID-55,40301,,Improvement,Complete,GRID,Grid,software,amundson,,,Medium,Done,pa3ng,agunde,agunde,04/Jun/19 3:14 AM,28/Aug/19 1:23 AM,28/Oct/23 2:25 AM,28/Aug/19 1:23 AM,,0,,,The product protobuf files should be added to the grid sdk in [https://github.com/hyperledger/grid/tree/master/sdk/protos] and a native rust implementation of the protobuf messages should be added to [https://github.com/hyperledger/grid/tree/master/sdk/src/protocol] . Look at [https://github.com/hyperledger/grid/tree/master/sdk/src/protocol/schema] for example.,,agunde,mattp,,,,,,,,,,,,GRID-96,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-19,,,No,,Unset,No,,,"1|i00op9:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,mattp,,,,,"28/Aug/19 1:22 AM;mattp;We believe this is done.;;;","28/Aug/19 1:23 AM;mattp;[~simont789] - Is there a reason why you moved this from the Done column?;;;",,
Update Track and Trace seeding scripts,GRID-56,40304,,Improvement,Complete,GRID,Grid,software,amundson,,,Medium,Done,newhall,dplumb,dplumb,04/Jun/19 3:50 AM,25/Jun/19 11:35 PM,28/Oct/23 2:25 AM,25/Jun/19 11:35 PM,,0,,,Update the seeding data scripts used for fish_client and asset_client demos based on the TnT Grid integration.,,dplumb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-10,,,No,,Unset,No,,,"1|i00q0c:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),dplumb,,,,,,,,,
Add Properties to Record resources,GRID-57,40309,,Improvement,Complete,GRID,Grid,software,amundson,,,Medium,Done,eloafran,dplumb,dplumb,04/Jun/19 3:57 AM,14/Jun/19 5:40 AM,28/Oct/23 2:25 AM,14/Jun/19 5:40 AM,,0,,,add a `properties` field to Records return from the `GET /record` endpoints,,dplumb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-10,,,No,,Unset,No,,,"1|i00q1g:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),dplumb,,,,,,,,,
Create Troubleshooting Guide for Track & Trace,GRID-58,40338,,Improvement,Complete,GRID,Grid,software,amundson,,,Medium,Done,dplumb,mfford,mfford,04/Jun/19 4:41 AM,02/Jul/19 6:45 AM,28/Oct/23 2:25 AM,02/Jul/19 6:45 AM,,0,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-10,,,No,,Unset,No,,,"1|i00q7y:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mfford,,,,,,,,,
Develop Plan for Grid Documentation,GRID-59,40339,,Improvement,Backlog,GRID,Grid,software,amundson,,,Medium,,dplumb,mfford,mfford,04/Jun/19 4:56 AM,04/Jun/19 4:58 AM,28/Oct/23 2:25 AM,,,0,,,Create a plan that determines all necessary sections to address potential user needs for Track & Trace documentation.,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00q84:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mfford,,,,,,,,,
Implement Datetime Primitive,GRID-60,40341,,Improvement,Backlog,GRID,Grid,software,amundson,,,Medium,,,pschwarz,pschwarz,04/Jun/19 5:16 AM,01/Oct/19 5:19 AM,28/Oct/23 2:25 AM,,,0,help-wanted,,Implement the Datetime primitive as described in the RFC (added in commit https://github.com/hyperledger/grid-rfcs/pull/4/commits/61d43d2ebd4a7aa3d582ce9ff01a579962645f75),,pschwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-28,,,No,,Unset,No,,,"1|i00q8k:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),pschwarz,,,,,,,,,
Grid Location,GRID-61,40342,,Epic,Backlog,GRID,Grid,software,amundson,,,Medium,,,mfford,mfford,04/Jun/19 6:03 AM,25/Sep/19 5:47 AM,28/Oct/23 2:25 AM,,,0,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,ghx-label-2,,Grid Location,To Do,No,,Unset,No,,,"1|i00cx0:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mfford,,,,,,,,,
Grid Documentation,GRID-63,40384,,Epic,Backlog,GRID,Grid,software,amundson,,,Medium,,,mfford,mfford,04/Jun/19 11:17 PM,25/Sep/19 5:08 AM,28/Oct/23 2:25 AM,,,0,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,ghx-label-2,,Grid Documentation,To Do,No,,Unset,No,,,"1|i00cx3:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mfford,,,,,,,,,
Gather & Recommend Top Level Industry Attributes for Product,GRID-64,40385,,Improvement,Complete,GRID,Grid,software,amundson,,,Medium,Done,mfford,mfford,mfford,04/Jun/19 11:26 PM,06/Aug/19 4:43 AM,28/Oct/23 2:25 AM,06/Aug/19 4:43 AM,,0,,,"Gather and recommend the top level, most common industry attributes to begin initial iterative development. This information will ultimately be part of a Product RFC.",,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-19,,,No,,Unset,No,,,"1|i00q80:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mfford,,,,,,,,,
Author Initial Grid Location RFC,GRID-65,40388,,New Feature,Backlog,GRID,Grid,software,amundson,,,Medium,,mfford,agunde,agunde,04/Jun/19 11:32 PM,08/Nov/19 5:44 AM,28/Oct/23 2:25 AM,,,0,,,Write an RFC that explains how the Grid Location smart contract would work. This should be very similar to the Grid Product RFC/smart contract and be based on the GS1 standards around location. It should also be written is such a way that it can be extended for other types of standards.,,agunde,,,,,,,,,,,,GRID-76,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-61,,,No,,Unset,No,,,"1|hzwu9b:5z6",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,,,
Create template for Grid Documentation Planning,GRID-66,40389,,New Feature,Complete,GRID,Grid,software,amundson,,,Highest,Done,agunde,agunde,agunde,05/Jun/19 12:13 AM,11/Jun/19 12:19 AM,28/Oct/23 2:25 AM,11/Jun/19 12:19 AM,,0,,,"People are going to be filling out different user sections (sysadmin, app dev, etc.. ) around the stories that we want to consider when creating the Grid documentation. We want every sections to be consistent, so there will be a template created that should be followed.",,agunde,,,,,,,,,,,,,GRID-68,GRID-69,GRID-70,GRID-71,GRID-72,GRID-73,,,,GRID-77,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-63,,,No,,Unset,No,,,"1|i00olf:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,,,
Coordinate the completion of the Grid Documentation Planning document,GRID-67,40390,,New Feature,Complete,GRID,Grid,software,amundson,,,Medium,Done,agunde,agunde,agunde,05/Jun/19 12:15 AM,25/Sep/19 3:13 AM,28/Oct/23 2:25 AM,25/Sep/19 3:13 AM,,0,,,Oversee the creation and completion of the Grid Documentation Planning document.,,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-63,,,No,,Unset,No,,,"1|i00q82:i",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,,,
Flesh out Sysadmin documentation stories for Grid,GRID-68,40391,,New Feature,Complete,GRID,Grid,software,amundson,,,Medium,Done,rberg2,agunde,agunde,05/Jun/19 12:18 AM,29/Jun/19 1:00 AM,28/Oct/23 2:25 AM,29/Jun/19 1:00 AM,,0,,,Fill out the provided template in Grid Documentation Planning document for Sysadmin.,,agunde,,,,,,,,,,,,GRID-66,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-63,,,No,,Unset,No,,,"1|i00q82:r",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,,,
Flesh out App Devs documentation stories for Grid,GRID-69,40392,,New Feature,Complete,GRID,Grid,software,amundson,,,Medium,Done,satelander,agunde,agunde,05/Jun/19 12:20 AM,29/Jun/19 1:00 AM,28/Oct/23 2:25 AM,29/Jun/19 1:00 AM,,0,,,Fill out the provided template in Grid Documentation Planning document for Application Developers,,agunde,,,,,,,,,,,,GRID-66,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-63,,,No,,Unset,No,,,"1|i00q82:w",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,,,
Flesh out Grid Developers documentation stories for Grid,GRID-70,40393,,New Feature,Complete,GRID,Grid,software,amundson,,,Medium,Done,RobinBanks,agunde,agunde,05/Jun/19 12:23 AM,29/Jun/19 1:00 AM,28/Oct/23 2:25 AM,29/Jun/19 1:00 AM,,0,,,Fill out the provided template in Grid Documentation Planning document for Grid developers. (grid contributors).,,agunde,,,,,,,,,,,,GRID-66,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-63,,,No,,Unset,No,,,"1|i00q82:s",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,,,
Flesh out POC/Architect documentation stories for Grid,GRID-71,40395,,New Feature,Complete,GRID,Grid,software,amundson,,,Medium,Done,jsmitchell,agunde,agunde,05/Jun/19 12:25 AM,12/Jul/19 12:05 AM,28/Oct/23 2:25 AM,12/Jul/19 12:05 AM,,0,,,Fill out the provided template in Grid Documentation Planning document for POC Architects.,,agunde,,,,,,,,,,,,GRID-66,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-63,,,No,,Unset,No,,,"1|i00q83:i",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,,,
