Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Due Date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
No Mutual TLS integration test case,FABG-157,26266,,Task,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,troyronda,troyronda,troyronda,23/Dec/17 12:23 AM,19/Jul/18 8:52 AM,28/Oct/23 3:24 AM,09/Jan/18 6:09 AM,,,,,,,,0,,,,,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyrzb:",,,,,,,,,,,,,,,,,,,,,,,,,,troyronda,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,main,dependabot/go_modules/golang.org/x/net-0.7.0,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Regenerate dep constraint file after ingesting third_party code,FABG-158,21033,,Task,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,,troyronda,troyronda,28/Sep/17 11:08 AM,19/Jul/18 8:52 AM,28/Oct/23 3:24 AM,02/Oct/17 11:36 PM,,,,,,,,0,,,,,troyronda,,,,,,,,,,,,,,,,,,,,,,FABG-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzx3gv:",,,,,,,,,,,,,,,,,,,,,,,,,,troyronda,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Fix timestamp in channel header,FABG-159,26227,,Task,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,troyronda,troyronda,troyronda,21/Dec/17 12:04 PM,19/Jul/18 8:52 AM,28/Oct/23 3:24 AM,22/Dec/17 10:56 PM,,,,,,,,0,,,,,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzx0h3:",,,,,,,,,,,,,,,,,,,,,,,,,,troyronda,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,main,dependabot/go_modules/golang.org/x/net-0.7.0,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Cache vendor populate step,FABG-160,31733,,Task,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,troyronda,troyronda,troyronda,08/Jul/18 12:01 AM,20/Jul/18 1:12 AM,28/Oct/23 3:24 AM,20/Jul/18 1:12 AM,,,,,,,,0,,,,,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzzi53:",,,,,,,,,,,,,,,,,,,,,,,,,,troyronda,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,main,dependabot/go_modules/golang.org/x/net-0.7.0,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Log success upon reading key from config,FABG-161,28739,,Task,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,sandrav,sandrav,sandrav,22/Mar/18 1:42 AM,19/Jul/18 8:52 AM,28/Oct/23 3:24 AM,23/Mar/18 2:32 AM,,,,,,,,0,,,Log success upon reading key from config,,sandrav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzz2i7:",,,,,,,,,,,,,,,,,,,,,,,,,,sandrav,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
SDK Go - Add optional secret to registration request,FABG-162,15749,,Task,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,divyank,smithbk,smithbk,15/Apr/17 1:10 AM,19/Jul/18 8:52 AM,28/Oct/23 3:24 AM,15/Jun/17 6:08 AM,,,,v1.0.0,,,,0,,,"The SDK should support an optional secret specified by the registrar during registration, rather than the secret being generated by the fabric-ca-server.

The REST API supports this via the additional ""Secret"" field in the RegistrationRequest as shown in fabric-ca/api/client.go:
{code}
        // Secret is an optional password.  If not specified,
        // a random secret is generated.  In both cases, the secret
        // is returned in the RegistrationResponse.
        Secret string `json:""secret,omitempty"" help:""The enrollment secret for the identity being registered""`
{code}",,smithbk,,,,,,,,,,,,,,,,,,,,,,FABG-485,,,,,,,FABC-536,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzx41b:",,,,,,,,,,,,,,,,,,,,,,,,,,smithbk,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,main,dependabot/go_modules/golang.org/x/net-0.7.0,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
SDK Go: Makefile for running unit and integration tests,FABG-163,15607,,Task,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,,divyank,divyank,07/Apr/17 4:10 AM,19/Jul/18 8:52 AM,28/Oct/23 3:24 AM,07/Apr/17 4:28 AM,,,,,,,,0,,,,,divyank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxpdz:",,,,,,,,,,,,,,,,,,,,,,,,,,divyank,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Implement GetChannelInfo & use in e2e tests,FABG-164,18952,,Task,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,divyank,troyronda,troyronda,05/Jul/17 1:45 AM,19/Jul/18 8:52 AM,28/Oct/23 3:24 AM,20/Mar/18 5:58 AM,,,,,,,,0,,,(see pkg/fabric-client/client.go),,divyank,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy6wn:",,,,,,,,,,,,,,,,,,,,,,,,,,divyank,troyronda,,,,,,,,,,,,,,,,,,"05/Jul/17 2:41 AM;divyank;This method looks like a duplicate of channel.GetInfo() [https://github.com/hyperledger/fabric-sdk-go/blob/47937191d0dd74de96a8fbc27b34e6ea45093e26/pkg/fabric-client/channel/channel.go#L682]

We can move the functionality to pkg/fabric-client/client.go to match the SDK specification.;;;",,,,,,,,,,,
Pass additional Go tags in Makefile,FABG-165,21008,,Task,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,bstasyszyn,bstasyszyn,bstasyszyn,27/Sep/17 4:51 AM,19/Jul/18 8:52 AM,28/Oct/23 3:24 AM,28/Sep/17 2:14 AM,,,,,,,,0,,,This allows developers to run tests on code that's not ready to be included in CI.,,bstasyszyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyhb3:",,,,,,,,,,,,,,,,,,,,,,,,,,bstasyszyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDK Go - Rename lccc (Lyfecycle System CC) to lscc,FABG-166,15826,,Task,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,firas.qutishat,aleksandar.likic@gmail.com,aleksandar.likic@gmail.com,19/Apr/17 9:07 AM,19/Jul/18 8:52 AM,28/Oct/23 3:24 AM,15/Jun/17 4:21 AM,,,,v1.0.0,,,,0,,,https://jira.hyperledger.org/browse/FAB-3171. It's merged already: https://gerrit.hyperledger.org/r/#/c/8113/. ,,aleksandar.likic@gmail.com,,,,,,,,,,,,,,,,,,,,,,FABG-485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzx413:",,,,,,,,,,,,,,,,,,,,,,,,,,aleksandar.likic@gmail.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDK Go - Add links to example projects,FABG-167,17066,,Task,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,troyronda,troyronda,troyronda,25/May/17 3:33 AM,19/Jul/18 8:52 AM,28/Oct/23 3:24 AM,15/Jun/17 12:24 AM,,,,,,,,0,,,,,troyronda,,,,,,,,,,,,,Not a security issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxopj:",,,,,,,,,,,,,,,,,,,,,,,,,,troyronda,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
SDK Go - Update license headers,FABG-168,17908,,Task,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,troyronda,troyronda,troyronda,15/Jun/17 12:08 AM,19/Jul/18 8:52 AM,28/Oct/23 3:24 AM,21/Jun/17 3:41 AM,,,,,,,,0,,,,,troyronda,,,,,,,,,,,,,Not a security issue,,,,,,,,,,,,,,,,,,,FAB-3963,FABG-281,,,,,,,,,,,,,,,,,,,,,,,"1|hzx453:",,,,,,,,,,,,,,,,,,,,,,,,,,troyronda,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Extend event client test timing window,FABG-169,31938,,Task,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,,troyronda,troyronda,17/Jul/18 4:57 AM,25/Jan/19 10:22 AM,28/Oct/23 3:24 AM,25/Jan/19 10:22 AM,,,,,,,,0,,,,,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,Unset,Unset,,,,,No,,,No,,,"1|hzzitr:",,,,Unset,Unset,,,,,,,,,,Unset,,,,,,,,,,,troyronda,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Update devstable to 1.3,FABG-170,31690,,Task,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,troyronda,troyronda,troyronda,06/Jul/18 8:51 AM,19/Jul/18 8:52 AM,28/Oct/23 3:24 AM,06/Jul/18 11:29 PM,,,,,,,,0,,,,,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzzhx3:",,,,,,,,,,,,,,,,,,,,,,,,,,troyronda,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Cleanup NewPreEnrolledUser,FABG-171,28104,,Task,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,sudeshrshetty,sudeshrshetty,sudeshrshetty,01/Mar/18 4:39 AM,19/Jul/18 8:52 AM,28/Oct/23 3:24 AM,20/Mar/18 5:35 AM,,,,,,,,0,,,,,sudeshrshetty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyzaf:",,,,,,,,,,,,,,,,,,,,,,,,,,sudeshrshetty,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Update stable version to 1.2.0,FABG-172,31683,,Task,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,troyronda,troyronda,troyronda,06/Jul/18 2:40 AM,19/Jul/18 8:52 AM,28/Oct/23 3:24 AM,06/Jul/18 8:03 AM,,,,,,,,0,,,,,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzzhw7:",,,,,,,,,,,,,,,,,,,,,,,,,,troyronda,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,main,dependabot/go_modules/golang.org/x/net-0.7.0,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Event Client,FABG-173,28942,,Task,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,sandrav,sandrav,sandrav,28/Mar/18 4:52 AM,19/Jul/18 8:52 AM,28/Oct/23 3:24 AM,03/Apr/18 11:31 PM,,,,,,,,0,,,"Create high level event client that enables access to channel events.
 1) RegisterBlockEvent registers for block events.
 2) RegisterFilteredBlockEvent registers for filtered block events.
 3) RegisterChaincodeEvent registers for chaincode events.
 4)  RegisterTxStatusEvent registers for transaction status events.
 5) Unregister removes the given registration and closes the event channel.
 

 ",,sandrav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzz3fj:",,,,,,,,,,,,,,,,,,,,,,,,,,sandrav,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Parse orderer config from channel config block,FABG-174,27598,,Task,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,sudeshrshetty,sudeshrshetty,sudeshrshetty,10/Feb/18 4:11 AM,19/Jul/18 8:52 AM,28/Oct/23 3:24 AM,10/Feb/18 8:28 AM,,,,,,,,0,,,OrdererConfig present in channel config like CA certs in OrdererGroup MSP should be used.,,sudeshrshetty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzywwv:",,,,,,,,,,,,,,,,,,,,,,,,,,sudeshrshetty,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
SDK Go - Add CI for Z/s390x platform,FABG-175,18048,,Task,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,divyank,troyronda,troyronda,15/Jun/17 11:07 PM,19/Jul/18 8:52 AM,28/Oct/23 3:24 AM,22/Jun/17 1:31 AM,,,,,,,,0,,,,,troyronda,,,,,,,,,,,,,Not a security issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzx45j:",,,,,,,,,,,,,,,,,,,,,,,,,,troyronda,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Update format of CA token in go SDK,FABG-176,30411,,Task,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Invalid,,smithbk,smithbk,20/May/18 12:16 AM,19/Jul/18 8:52 AM,28/Oct/23 3:24 AM,19/Jul/18 8:38 AM,,,,Future,,,,0,Security,,"The format of the authorization header is changing.

The current format is <base64 encoding of X509 certificate>.<base64 encoding of payload> where payload is the signature over hash of the string: <base64 encoding of request body>.<base64 encoding of X509 cert>

The new format is <base64 encoding of X509 certificate>.<base64 encoding of payload> where payload is the signature over hash of the string: <request method>.<base64 encoding of request URI including query parameters>.<base64 encoding of request body>.<base64 encoding of X509 cert>

This change should be made after https://gerrit.hyperledger.org/r/#/c/22025/ is merged
",,smithbk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzzb9j:",,,,,,,,,,,,,,,,,,,,,,,,,,smithbk,,,,,,,,,,,,,,,,,,,"22/May/18 2:46 AM;smithbk;The token format is not being changed.;;;",,,,,,,,,,,
Update third_party fabric to v1.1.0-preview,FABG-177,23700,,Task,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,,troyronda,troyronda,02/Nov/17 4:57 AM,19/Jul/18 8:52 AM,28/Oct/23 3:24 AM,21/Nov/17 9:26 PM,,,,,,,,0,,,,,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzx3hr:",,,,,,,,,,,,,,,,,,,,,,,,,,troyronda,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Ledger Client: Unit Tests,FABG-178,28769,,Task,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,sandrav,sandrav,sandrav,23/Mar/18 2:32 AM,19/Jul/18 8:52 AM,28/Oct/23 3:24 AM,23/Mar/18 4:05 AM,,,,,,,,0,,,Add unit tests for ledger client.,,sandrav,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzz2nz:",,,,,,,,,,,,,,,,,,,,,,,,,,sandrav,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Extend fabric-sdk-go job timeout,FABG-179,26182,,Task,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,rameshthoomu,troyronda,troyronda,20/Dec/17 11:22 AM,19/Jul/18 8:52 AM,28/Oct/23 3:24 AM,23/Dec/17 2:18 AM,,,,,,,,0,,,"fabric-sdk-go test suite is taking ~40 minutes to complete, which is often triggering the job timeout.

 ",,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyren:",,,,,,,,,,,,,,,,,,,,,,,,,,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rename fixtures ca to be part of example.com,FABG-180,26143,,Task,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,troyronda,troyronda,troyronda,19/Dec/17 4:35 AM,19/Jul/18 8:52 AM,28/Oct/23 3:24 AM,20/Dec/17 2:20 AM,,,,,,,,0,,,,,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyr6f:",,,,,,,,,,,,,,,,,,,,,,,,,,troyronda,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,main,dependabot/go_modules/golang.org/x/net-0.7.0,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Fix third_party pinning script on MacOS,FABG-181,24068,,Task,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,troyronda,troyronda,troyronda,21/Nov/17 6:14 AM,19/Jul/18 8:52 AM,28/Oct/23 3:24 AM,21/Nov/17 11:20 PM,,,,,,,,0,,,,,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzynmv:",,,,,,,,,,,,,,,,,,,,,,,,,,troyronda,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,main,dependabot/go_modules/golang.org/x/net-0.7.0,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
SDK Go : Fixing local integration tests,FABG-182,31039,,Task,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,sudeshrshetty,sudeshrshetty,sudeshrshetty,14/Jun/18 2:17 AM,19/Jul/18 8:52 AM,28/Oct/23 3:24 AM,14/Jun/18 6:09 AM,,,,,,,,0,,,"Testing with code level stable (Fabric v1.1) ... [fabsdk/fab] 2018/06/12 18:11:36 UTC - peer.(*peerEndorser).sendProposal  ERRO process proposal failed [rpc error: code = Unknown desc = chaincode error (status: 500, message: Cannot create ledger from genesis block, due to LedgerID already exists)]-- FAIL: TestE2E (1.58s) end_to_end.go:139: Org peers failed to JoinChannel: join channel failed: SendProposal failed: Transaction processing for endorser [localhost:7051]: Chaincode status Code: (500) UNKNOWN. Description: Cannot create ledger from genesis block, due to LedgerID already existsFAILFAIL github.com/hyperledger/fabric-sdk-go/test/integration/e2e",,sudeshrshetty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzzepr:",,,,,,,,,,,,,,,,,,,,,,,,,,sudeshrshetty,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
def/fabapi naming can be confusing,FABG-183,18950,,Task,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,,troyronda,troyronda,05/Jul/17 1:00 AM,19/Jul/18 8:52 AM,28/Oct/23 3:24 AM,07/Oct/17 12:47 AM,,,,,,,,0,,,,,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy6u7:",,,,,,,,,,,,,,,,,,,,,,,,,,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove old GetSigningIdentity workaround in integration tests,FABG-184,30123,,Task,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,,aleksandar.likic,aleksandar.likic,11/May/18 7:26 AM,19/Jul/18 8:52 AM,28/Oct/23 3:24 AM,24/May/18 11:31 PM,,,,,,,,0,,,,,aleksandar.likic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzwsxj:",,,,,,,,,,,,,,,,,,,,,,,,,,aleksandar.likic,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Increase cc execute timeout for tests,FABG-185,31705,,Task,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,troyronda,troyronda,troyronda,06/Jul/18 11:22 PM,25/Jan/19 10:22 AM,28/Oct/23 3:24 AM,25/Jan/19 10:22 AM,,,,,,,,0,,,"
Increases the execute timeout for tests to allow for slow starts of CC containers. Example:

https://jenkins.hyperledger.org/job/fabric-sdk-go-tests-verify-s390x/3181/console

13:54:22 integration-tests_1  | --- FAIL: TestCCToCC (72.12s)
13:54:22 integration-tests_1  |     assertions.go:247: 
                         
    Error Trace:    channel_client_test.go:161
13:54:22 integration-tests_1  |         
    Error:          Not equal: 
13:54:22 integration-tests_1  |         
                    expected: 10
13:54:22 integration-tests_1  |         
                    actual  : 500
13:54:22 integration-tests_1  |         
    Test:           TestCCToCC
13:54:22 integration-tests_1  |  [fabsdk/fab] 2018/07/06 13:53:57 UTC - peer.(*peerEndorser).sendProposal -> ERRO process proposal failed [rpc error: code = Canceled desc = context canceled]
13:54:22 integration-tests_1  |  [fabsdk/fab] 2018/07/06 13:53:57 UTC - peer.(*peerEndorser).sendProposal -> ERRO process proposal failed [rpc error: code = Canceled desc = context canceled]
13:54:22 integration-tests_1  |  [fabsdk/fab] 2018/07/06 13:53:57 UTC - peer.(*peerEndorser).sendProposal -> ERRO process proposal failed [rpc error: code = Canceled desc = context canceled]
13:54:22 integration-tests_1  | FAIL
13:54:22 integration-tests_1  | FAIL    github.com/hyperledger/fabric-sdk-go/test/integration/sdk    454.553s

",,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzzhzz:",,,,,,,,,,,,,,,,,,,,,,,,,,troyronda,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
