Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,Description,Environment,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Relates),Outward issue link (Relates),Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment
Write module level documentation for scheduler,TX-43,40323,Improvement,Backlog,TX,Transact,software,amundson,,,Medium,,amundson,agunde,agunde,04/Jun/19 4:21 AM,04/Jun/19 4:26 AM,28/Oct/23 2:43 AM,,,0,"Following the module level template, add documentation to [libtransact/src/scheduler/mod.rs|https://github.com/bitwiseio/transact/blob/master/libtransact/src/scheduler/mod.rs]",,agunde,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,TX-25,,,No,,Unset,No,,,"1|i00q4k:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,
Write module level documentation for serial scheduler,TX-44,40324,Improvement,Backlog,TX,Transact,software,amundson,,,Medium,,amundson,agunde,agunde,04/Jun/19 4:23 AM,04/Jun/19 4:25 AM,28/Oct/23 2:43 AM,,,0,"Following the module level template, add documentation to libtransact/src/scheduler/serial/mod.rs

 ",,agunde,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,TX-25,,,No,,Unset,No,,,"1|i00q4s:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,
Write module level documentation for parallel scheduler,TX-45,40326,New Feature,Backlog,TX,Transact,software,amundson,,,Medium,,amundson,agunde,agunde,04/Jun/19 4:25 AM,04/Jun/19 4:25 AM,28/Oct/23 2:43 AM,,,0,"Following the module level template, add documentation to libtransact/src/scheduler/parallel/mod.rs",,agunde,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,TX-25,,,No,,Unset,No,,,"1|i00q58:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,
Write module level documentation for signing,TX-46,40327,Improvement,Backlog,TX,Transact,software,amundson,,,Medium,,amundson,agunde,agunde,04/Jun/19 4:27 AM,04/Jun/19 4:27 AM,28/Oct/23 2:43 AM,,,0,"Following the module level template, add documentation to libtransact/src/signing/mod.rs",,agunde,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,TX-25,,,No,,Unset,No,,,"1|i00q5g:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,
Write module level documentation for state,TX-47,40328,Improvement,Backlog,TX,Transact,software,amundson,,,Medium,,amundson,agunde,agunde,04/Jun/19 4:28 AM,04/Jun/19 4:28 AM,28/Oct/23 2:43 AM,,,0,"Following the module level template, add documentation to libtransact/src/state/mod.rs.",,agunde,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,TX-25,,,No,,Unset,No,,,"1|i00q5o:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,
Write module level documentation for workload,TX-48,40331,Improvement,Backlog,TX,Transact,software,amundson,,,Medium,,amundson,agunde,agunde,04/Jun/19 4:30 AM,04/Jun/19 4:30 AM,28/Oct/23 2:43 AM,,,0,"Following the module level template, add documentation to libtransact/src/workload/mod.rs",,agunde,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,TX-25,,,No,,Unset,No,,,"1|i00q78:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,
Write unit tests for Serial Scheduler,TX-49,40449,New Feature,Done,TX,Transact,software,amundson,,,Medium,Done,ltseeley,ltseeley,ltseeley,07/Jun/19 1:33 AM,12/Jul/19 4:01 AM,28/Oct/23 2:43 AM,12/Jul/19 4:01 AM,,0,"Separate integration tests into its own top level directory

Write more scheduler module-level tests

Write tests for serial scheduler specifically (ordering, etc.)",,ltseeley,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,TX-3,,,No,,Unset,No,,,"1|i00qrv:ri",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),ltseeley,,,,,,,
Add error callback to Scheduler trait,TX-50,40474,New Feature,Done,TX,Transact,software,amundson,,,Medium,Done,ltseeley,ltseeley,ltseeley,08/Jun/19 2:24 AM,18/Jun/19 5:20 AM,28/Oct/23 2:43 AM,18/Jun/19 5:20 AM,,0,Add an error callback to the Schedulers that's used when an error is encountered that's not correlated with a specific batch. This will be used initially by the serial scheduler to report when a task completion notification is received for a transaction that's not the current transaction.,,ltseeley,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,TX-3,,,No,,Unset,No,,,"1|i00qrv:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),ltseeley,,,,,,,
Initialize the Transact RFC Repo,TX-51,40524,New Feature,Done,TX,Transact,software,amundson,,,Medium,Done,amundson,mfford,mfford,12/Jun/19 12:16 AM,04/Sep/19 10:57 PM,28/Oct/23 2:43 AM,04/Sep/19 10:57 PM,,0,Steps to prepare the repo to contain RFCs for the Transact project.,,mfford,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,TX-5,,,No,,Unset,No,,,"1|i00qrv:s",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mfford,,,,,,,
Investigate macros for autogenerating builder structs,TX-52,41102,New Feature,Backlog,TX,Transact,software,amundson,,,Medium,,RobinBanks,RobinBanks,RobinBanks,12/Jul/19 5:06 AM,12/Jul/19 5:06 AM,28/Oct/23 2:43 AM,,,0,"To better facilitate writing builder methods and structs, implement a set of macros for auto generating builder code.
 * derive(Build)
 * derive(Getters)
 * dervie(Withs)",,RobinBanks,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00tto:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),RobinBanks,,,,,,,
Implement signature verifiers,TX-53,42180,Improvement,Backlog,TX,Transact,software,amundson,,,Medium,,amundson,ltseeley,ltseeley,04/Sep/19 3:08 AM,04/Sep/19 3:08 AM,28/Oct/23 2:43 AM,,,0,,,ltseeley,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00z9f:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),ltseeley,,,,,,,
Add a Into method to convert receipt::StateChange to a state::StateChange,TX-54,42432,New Feature,Done,TX,Transact,software,amundson,,,Medium,Done,swetharepakula,swetharepakula,swetharepakula,20/Sep/19 6:24 AM,08/Oct/19 12:06 AM,28/Oct/23 2:43 AM,08/Oct/19 12:06 AM,,0,"The [state change enum|[https://github.com/hyperledger/transact/blob/master/libtransact/src/protocol/receipt.rs#L34-L37]] in a receipt cannot be used to apply an update to a database without a manual transformation into the [state module state change enum|[https://github.com/hyperledger/transact/blob/master/libtransact/src/state/mod.rs#L40-L43]].

The receipt module should have a method to convert into a state module version of the enum",,swetharepakula,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i010ib:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),swetharepakula,,,0-3,0-4,main,true,"21/Sep/19 8:36 AM;swetharepakula;[https://github.com/hyperledger/transact/pull/17];;;"
Support PostgreSQL database backend,TX-55,42649,New Feature,In Progress,TX,Transact,software,amundson,,,Medium,,amundson,amundson,amundson,07/Oct/19 11:55 PM,07/Oct/19 11:56 PM,28/Oct/23 2:43 AM,,,0,"It is desirable to support a PostgreSQL database backend, in addition to the current LMDB implementation. In part, to make it easier to use Transact in cloud environments.",,amundson,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i011mr:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),amundson,,,,,,,
Support Redis database backend,TX-56,42650,New Feature,In Review,TX,Transact,software,amundson,,,Medium,,pschwarz,amundson,amundson,07/Oct/19 11:57 PM,21/Oct/19 11:42 PM,28/Oct/23 2:43 AM,,,0,"It is desirable to support a Redis database backend in addition to the current LMDB backend. In part, this is to better support using Transact in cloud environments.",,amundson,pschwarz,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i011mz:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),amundson,pschwarz,,,,,,"21/Oct/19 11:42 PM;pschwarz;PR for this feature here: https://github.com/hyperledger/transact/pull/25;;;"
Initialize transact-sdk-javascript repo,TX-57,43532,New Feature,Done,TX,Transact,software,amundson,,,Medium,Done,rbuysse,newhall,newhall,04/Dec/19 4:00 AM,12/Feb/20 12:35 AM,28/Oct/23 2:43 AM,12/Feb/20 12:35 AM,,0,Initialize a repo for the transact javascript sdk implementation,,newhall,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i015nv:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),newhall,,,,,,,
